,method,fold,cpu_avg_user,cpu_avg_sys,cpu_avg_busy,cpu_avg_wait,cpu_avg_idle,cpu_avg_waste,cpu_max_user,cpu_max_sys,cpu_max_busy,cpu_max_wait,cpu_max_idle,cpu_max_waste,cpu_frac_busy,io_iget,io_bread,io_bwrite,io_lread,io_lwrite,io_phread,io_phwrite,io_wcancel,io_namei,io_dirblk,disk_avg_active,disk_max_active,disk_frac_active,disk_avg_read,disk_avg_write,disk_avg_total,disk_max_read,disk_max_write,disk_max_total,disk_frac_busy,net_avg_read,net_avg_write,net_avg_total,net_max_read,net_max_write,net_max_total,net_frac_busy,mem_swap,mem_fault,mem_tlbflush,syscall_total
38,relevance_relevance_centrality,2,0.0,0.08226842016092922,0.0,0.0,0.0,0.48359057412834777,0.034547486339391295,0.3471339721322597,0.0,0.0,0.0,6.878477861188564e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03350494354405486,0.0005439362449051441,0.0,0.0,0.0,0.0,0.01660420146272208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001737663224477641,0.0,0.0,0.0,0.0,0.0,0.0,1.7984300389995056e-08,0.0
39,perm,3,0.2927241962774959,0.10152284263959394,0.0,0.0,0.24873096446700516,0.2436548223350255,-0.010152284263959435,0.0033840947546531024,-0.03553299492385795,0.0,0.0,0.006768189509306241,0.0,-0.028764805414551706,-0.0033840947546531566,0.0,0.0,0.0,0.0,0.0,0.22673434856175986,0.0,0.0,0.0,0.0,-0.008460236886632855,0.0,0.0,0.0033840947546531206,-0.006768189509306313,0.0,0.0,-0.015228426395939207,0.0,0.0,0.0,-0.018612521150592327,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,gini,3,0.01381424228469074,0.6761292351424202,0.0,0.0,0.005106220430751489,0.09101708379537143,0.024473009298170985,0.01270153528888349,0.0036424997593713622,0.002007091704143404,0.0,0.008495626260924464,0.0,0.026047590115994397,0.004633790096532873,0.0,0.0,0.0,0.0,0.007739433287558156,0.04186051120163063,0.0,0.0,0.0,0.0,0.060461503926410226,0.0,0.0,0.004587638180899211,0.0026761222721912057,0.0,0.0,0.003568163029588274,0.0,0.0,0.0,0.008563591271011858,0.002475112653455667,0.0,0.0,0.0,0.0,0.0,0.0
41,shap,3,0.10211944113585572,0.12235598206465544,0.0,0.0,0.14823367729149964,0.10385280053538977,0.03485947444427942,0.061156537580944116,0.06310604591912787,0.003957061519293382,0.0,0.029397837631386443,0.0,0.02990236993180931,0.012061929479536831,0.0,0.0,0.0,0.0,0.018271125733776747,0.1605946143913205,0.0,0.0,0.0,0.0,0.05232807263634063,0.0,0.0,0.016835176939444932,0.003575992425106652,0.0,0.0,0.008898341123976417,0.0,0.0,0.0,0.006375714466849539,0.022117804749406982,0.0,0.0,0.0,0.0,0.0,0.0
42,support_impurity_centrality,3,0.07360567674834048,0.1343492035954491,0.0,0.0,0.0021810578224276283,0.13386251574319255,0.09867779198503546,0.07033432826963161,0.009445084799708112,0.01072948284997165,0.0,0.09292490262466342,0.0,0.06840091607557593,0.015111210928093716,0.0,0.0,0.0,0.0,0.010683203178336684,0.07486734714538879,0.0,0.0,0.0,0.0,0.12694223762117587,0.0,0.0,0.01796198161823834,0.015489057343582047,0.0,0.0,0.017502703206299923,0.0,0.0,0.0,0.025887835843205025,0.0010434626016836402,0.0,0.0,0.0,0.0,0.0,0.0
43,confidence_impurity_centrality,3,0.06959934657058124,0.13781821559516796,0.0,0.0,6.884454800941624e-05,0.10833508489938344,0.027209032582465598,0.06409120702059845,0.011667767479586843,0.048912742460521755,0.0,0.08651819585773864,0.0,0.027977557667510256,0.010314017787108236,0.0,0.0,0.0,0.0,0.04713665797770999,0.04889016852332833,0.0,0.0,0.0,0.0,0.08589141112412606,0.0,0.0,0.04009322095983306,0.09087914945167481,0.0,0.0,0.06314559342625911,0.0,0.0,0.0,0.03142309966016616,2.8686408230588686e-05,0.0,0.0,0.0,0.0,0.0,0.0
44,lift_impurity_centrality,3,0.08099611505133095,0.14313893679100836,0.0,0.0,7.873414830553662e-05,0.09955051414404693,0.030367874980329033,0.06733386442689578,0.009134721804181664,0.05787152767998232,0.0,0.09221563297071167,0.0,0.028539671838135237,0.011471271486443153,0.0,0.0,0.0,0.0,0.03918415134301483,0.05696061815342762,0.0,0.0,0.0,0.0,0.06909764193183615,0.0,0.0,0.041103893006835146,0.0825419072727068,0.0,0.0,0.06170000736654627,0.0,0.0,0.0,0.028677767596157006,3.514800810526919e-05,0.0,0.0,0.0,0.0,0.0,0.0
45,equal_impurity_centrality,3,0.06828479610819574,0.13861126170213836,0.0,0.0,6.853978675521968e-05,0.10988640163170282,0.030819666381963835,0.06305220171130727,0.0114473937276617,0.047988908094450285,0.0,0.08488409237870365,0.0,0.03084908114725844,0.010313282779746417,0.0,0.0,0.0,0.0,0.046247297474999144,0.048019063359628515,0.0,0.0,0.0,0.0,0.08469184944675254,0.0,0.0,0.03933596439424412,0.08916267891251899,0.0,0.0,0.06195293755912512,0.0,0.0,0.0,0.03435521943192241,2.936397092550364e-05,0.0,0.0,0.0,0.0,0.0,0.0
46,relevance_impurity_centrality,3,0.07655083245785119,0.13978782140806473,0.0,0.0,0.002569525284152047,0.10882517073102373,0.10359180053985946,0.07482985138241302,0.006509604255080889,0.010936669414671356,0.0,0.10130137483281433,0.0,0.07448408737678994,0.01137249059619211,0.0,0.0,0.0,0.0,0.010452671553091613,0.08615322284339118,0.0,0.0,0.0,0.0,0.12022551177303585,0.0,0.0,0.014177192193049875,0.014588945607662083,0.0,0.0,0.01876395753761737,0.0,0.0,0.0,0.023649546594635043,0.0012297236186041805,0.0,0.0,0.0,0.0,0.0,0.0
47,support_relevance_centrality,3,0.05093111908133579,0.001716324906449323,0.0,0.0,0.017517404394976597,0.7041590707672513,0.03651549377186976,7.918632152186349e-05,2.0019035036049433e-06,1.842870719685333e-06,0.0,2.012469405400885e-05,0.0,0.00026228714967314605,0.00014523186838304687,0.0,0.0,0.0,0.0,0.017517164408620858,0.15129644945843299,0.0,0.0,0.0,0.0,0.0023205013773705406,0.0,0.0,5.797044904583678e-07,1.4393747716752716e-09,0.0,0.0,1.589181607168505e-08,0.0,0.0,0.0,1.1331529511101343e-06,0.017514066837205168,0.0,0.0,0.0,0.0,0.0,0.0
