,method,fold,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21
54,support_impurity_centrality,4,0.008107211546151852,0.006714727808647343,0.0035069994015899364,0.03356948124290585,0.06437843123239494,0.0699813797975308,0.0942250549069598,0.0512988161301426,0.03507845347017399,0.08289090122445852,0.13387368031131003,0.06735620680263003,0.06450576815366023,0.05915667149646487,0.08189796209962767,0.07292747408146731,0.03096273112363624,0.024794899468296196,0.010138762380533808,0.0017701409619829956,0.0028642463594349666
55,confidence_impurity_centrality,4,0.018358679390224463,0.01058945070164967,0.0029008290215280265,0.02108059765944756,0.05644048402252256,0.07263734818112606,0.08368429393169857,0.054937625389033275,0.05425262369756755,0.07468493584437318,0.1042325421922271,0.07249560808046818,0.05981175385918273,0.06429504370199851,0.07757858204817444,0.07543089104353198,0.04427862006435444,0.027983317993382013,0.01010882297647504,0.0005167157487311703,0.013701234452303427
56,lift_impurity_centrality,4,0.02260182498295256,0.014126639206674825,0.004001023914035321,0.025203193916507285,0.056658544059769334,0.06643909897844627,0.07876209441227722,0.05440231600222822,0.058935315011182834,0.0723413843873482,0.09170386666483503,0.06947201843640052,0.059484580915175146,0.06799352044225725,0.07378266768494837,0.07245806105174725,0.04723200833524078,0.03330670898193531,0.013258538664844463,0.0007046104465356926,0.01713198350465794
57,equal_impurity_centrality,4,0.017768051211668502,0.010306857470758303,0.003131192367083621,0.021367793549264075,0.055838272328512246,0.07194557392627751,0.08346493704437084,0.05442465612296317,0.05392875935081612,0.0743245232407976,0.10347577628158779,0.07243093203840774,0.060978821760807655,0.0641833613707814,0.0768111957484369,0.07594574438419166,0.045567124048037325,0.028662900653430787,0.011454653363189925,0.0006200785911441566,0.013368795147472528
58,relevance_impurity_centrality,4,0.008189531468461811,0.006626047394763587,0.0034814163311773236,0.03329089398299596,0.06421126032854849,0.0699031544055762,0.09372291326496954,0.051205915798032985,0.03532158667890621,0.08314081107493104,0.13415985619227197,0.06725145070509737,0.06446190520146816,0.058959198990720434,0.08196334108498152,0.0733593666668739,0.03103436301294251,0.024980987770968195,0.010129162679998905,0.0017397604879292833,0.0028670764783846237
59,support_relevance_centrality,4,1.0581548739455757e-06,8.339637029983992e-05,3.2155950066931724e-06,0.00014407872968892374,0.0011753725541142103,0.0619980935840425,0.257263498606333,0.00347209496669761,0.03179699797215353,0.013173478919717643,0.3169311892834756,0.005207889084319033,0.06745508837019587,0.013463833561200726,0.2101709688609444,0.00989637610164591,0.00672103564371967,0.00030849374841325304,0.0007054878591966839,2.639211057920935e-05,1.9599233817111706e-06
60,confidence_relevance_centrality,4,9.56279882495593e-06,0.00022251381989936447,2.5423060520501358e-05,0.0008411244157761801,0.002931315815568784,0.06159436011794063,0.19929973558523795,0.007190988657558387,0.040639572344066115,0.019461821242217424,0.3553192591822444,0.01293126870551034,0.0560107095067274,0.012899519915612221,0.19929059295550078,0.015557281710138277,0.013346886186616795,0.0008280694655832224,0.001446826402257373,0.0001315867785589727,2.1581333639971515e-05
61,lift_relevance_centrality,4,9.401846308787475e-06,0.00021791778637260498,2.5236864110997563e-05,0.0008403958944264949,0.002891480228399852,0.06156395932669525,0.20043540188488337,0.007064202128369937,0.04078292388864299,0.019424977120924464,0.3542003851190428,0.012773864767818258,0.05634823122527501,0.012921209430940361,0.19936674723420242,0.015526351775318175,0.013210691890936484,0.0008295113938176495,0.0014172503405247895,0.00012874445178570615,2.111540120360908e-05
62,equal_relevance_centrality,4,9.038793026338726e-06,0.00023247897274879622,2.6833749001775968e-05,0.0008088802920788635,0.003278599673522815,0.05894083865985269,0.18871695092725524,0.0071290006542479275,0.04708683417550008,0.02078620982779866,0.371215215083733,0.014145068852889086,0.054508720895905624,0.012509901512080888,0.18908815772089116,0.015131335048507142,0.01393618252187072,0.0008621112202032416,0.0014221037734760671,0.00014513888856317142,2.039875684668739e-05
63,relevance_relevance_centrality,4,1.0357278804933791e-06,8.134943446041398e-05,3.1815452094669417e-06,0.00014392334981066314,0.0011576245523519295,0.061963095412979105,0.2585303237132393,0.0034003056293566815,0.03171108396268897,0.01310146792939568,0.31577271755364,0.0051149668779266995,0.06780346488546554,0.013512252803017724,0.210193814984754,0.009878975278882039,0.0066047458569785476,0.00030852733432659566,0.000689480086448109,2.574739513960467e-05,1.915686048445613e-06
