,method,fold,Age,Sex,Steroid,Antivirals,Fatigue,Malaise,Anorexia,Liver Big,Liver Firm,Spleen Palpable,Spiders,Ascites,Varices,Bilirubin,Alk Phosphate,Sgot,Albumin,Protime,Histology
118,support_impurity_centrality,9,0.24592502715723707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12449273406115162,0.0,0.0,0.10826719979071545,0.24769223130524617,0.0,0.11835524589197279,0.15526756179367687,0.0
119,confidence_impurity_centrality,9,0.15841866205969687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19488059675972152,0.0,0.0,0.12401852395677104,0.35702164398994246,0.0,0.03922912685096263,0.12643144638290535,0.0
120,lift_impurity_centrality,9,0.08796421511189333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25845430272642916,0.0,0.0,0.14068092842150223,0.3227301219654092,0.0,0.03975224172141961,0.1504181900533465,0.0
121,equal_impurity_centrality,9,0.15740378465647697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19372712506017864,0.0,0.0,0.12776116372353508,0.35496248742176256,0.0,0.04049164708129695,0.1256537920567497,0.0
122,relevance_impurity_centrality,9,0.20789204435828476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1580861935352541,0.0,0.0,0.0964765965457777,0.2251217919334046,0.0,0.12547807256967844,0.1869453010576004,0.0
123,support_relevance_centrality,9,0.002949068391189383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24428380522537457,0.0,0.0,6.468628681270684e-05,0.00032092733287654684,0.0,0.7361125057877089,0.016269006976037878,0.0
124,confidence_relevance_centrality,9,0.014221076980122052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21709034623790205,0.0,0.0,0.0007703564262485037,0.0031261882426995057,0.0,0.6857375425601122,0.07905448955291573,0.0
125,lift_relevance_centrality,9,0.03969501748754461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16336910730105117,0.0,0.0,0.0012637842497076792,0.0026911427117260658,0.0,0.578830783983951,0.21415016426601943,0.0
126,equal_relevance_centrality,9,0.01421349307101945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2169745748757737,0.0,0.0,0.0008594740437472535,0.003169283282273938,0.0,0.6855476134912167,0.07923556123596892,0.0
127,relevance_relevance_centrality,9,0.010560087532833162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23044522951038257,0.0,0.0,9.271522939394858e-05,0.00031690813218240995,0.0,0.7017575863340477,0.056827473261160145,0.0
