,method,fold,Clump_thickness,Uniformity_of_cell_size,Uniformity_of_cell_shape,Marginal_adhesion,Single_epithelial_cell_size,Bare_nuclei,Bland_chromatin,Normal_nucleoli,Mitoses
47,support_relevance_centrality,3,0.11314210814268305,0.7376926353348601,0.000689678572990987,0.0001522584443971714,1.6933461383187432e-06,0.14832018619691176,1.3464435395522043e-06,9.000496732596221e-08,3.513511707289219e-09
48,confidence_relevance_centrality,3,0.11653651694202416,0.7184542697590492,0.014122827025897657,0.001305898942441878,4.416381111619608e-05,0.14947983842323953,4.853984956135484e-05,7.2888407525998255e-06,6.564059174049145e-07
49,lift_relevance_centrality,3,0.12214298292313454,0.7086654138315372,0.014109393155251329,0.0024362528751172945,8.113004641740191e-05,0.15247337206914152,8.021649236261492e-05,1.0518702897953533e-05,7.199041401013925e-07
50,equal_relevance_centrality,3,0.11653619832311793,0.7184526126252703,0.014123301207755826,0.00130589537202375,4.4163690369278614e-05,0.1494805575222176,4.888159398441479e-05,7.733261138221575e-06,6.564041227456873e-07
51,relevance_relevance_centrality,3,0.11499811888252551,0.7354343545503332,0.0007072244916427353,0.0002881486933039236,3.200686280492499e-06,0.1485663013091541,2.4871401289454283e-06,1.605340445671556e-07,3.712586506976721e-09
52,perm,4,0.15210355987055021,0.262135922330097,0.03236245954692569,-0.003236245954692518,0.0,0.4336569579288024,0.061488673139158574,0.06148867313915863,0.0
53,gini,4,0.020353257068914395,0.7981724622776105,0.012957007889281613,0.018754159156615997,0.01670926356762561,0.09975507195606467,0.015537093661114958,0.014243944724324694,0.003517739698447497
54,shap,4,0.12028316570655839,0.24593623151431215,0.04487106116978461,0.08248239936501157,0.014268345397584143,0.3579905351625518,0.06673392028820821,0.06649604018341616,0.0009383012125730763
55,support_impurity_centrality,4,0.0961773942181726,0.29916174074141744,0.06150377584168701,0.08127685716745026,0.10088490769412557,0.1960482402411929,0.10615033974394657,0.03993167994128402,0.01886506441072365
56,confidence_impurity_centrality,4,0.12397253796914788,0.188300939102685,0.10683930871636423,0.07756004838035815,0.10469872492162852,0.14600100050339063,0.1514720577543656,0.035179387750385205,0.06597599490167491
57,lift_impurity_centrality,4,0.10728626387854051,0.1807760164856639,0.11561968033478988,0.09846275768655845,0.11107756906589598,0.15137359971132866,0.13659048938510265,0.03202853342926649,0.0667850900228533
58,equal_impurity_centrality,4,0.12397253796914788,0.188300939102685,0.10683930871636423,0.07756004838035815,0.10469872492162852,0.14600100050339063,0.1514720577543656,0.035179387750385205,0.06597599490167491
59,relevance_impurity_centrality,4,0.07288729887116449,0.3387319569206247,0.07078418625237444,0.08902076746505486,0.09321435203506213,0.19350224004570854,0.09628587466328194,0.028874882943131796,0.016698440803597153
60,support_relevance_centrality,4,0.047658047664369325,0.8567636804141585,1.133912542558648e-07,0.007841022434554435,1.6495770107849175e-07,0.08772431830261686,6.353452624888739e-07,1.2016971027499275e-05,5.190555928047784e-10
61,confidence_relevance_centrality,4,0.02600217489538065,0.883091770498249,9.98884708824196e-06,0.010097307277340447,9.130156610591797e-06,0.07989970395624109,2.3283943666014644e-05,0.0008665411210983934,9.930432550730438e-08
62,lift_relevance_centrality,4,0.01556738189607048,0.903611144916128,1.0522880321725318e-05,0.011210899264293831,7.463788503080979e-06,0.06862824653461132,2.3433147930588915e-05,0.0009408461242037001,6.144793719408977e-08
63,equal_relevance_centrality,4,0.02600217489538065,0.883091770498249,9.98884708824196e-06,0.010097307277340447,9.130156610591797e-06,0.07989970395624109,2.3283943666014644e-05,0.0008665411210983934,9.930432550730438e-08
64,relevance_relevance_centrality,4,0.03108517325898395,0.8925218253004694,1.3673063244427045e-07,0.009698999133210953,1.3225142914085907e-07,0.0666810215144342,7.446893883599056e-07,1.1966765221117745e-05,3.5623039000333576e-10
65,perm,5,0.02631578947368415,0.6090225563909775,0.04511278195488715,0.0,-5.843279076974509e-17,0.23684210526315796,0.0,0.08270676691729321,0.0
66,gini,5,0.02694363431083178,0.7719169608382317,0.016851220909461975,0.0026890447578741873,0.011099270389929403,0.1346367339248766,0.0,0.034946285516856516,0.0009168493519378046
67,shap,5,0.16103099069295088,0.3866881479152134,0.088403127319609,0.05449576892401285,0.044886100815683706,0.18547112138755034,0.0,0.07436849095851175,0.004656251986468108
68,support_impurity_centrality,5,0.03170207707450591,0.48408054485314383,0.17049258061505035,0.008542672572708519,0.02069977721298607,0.21614615454059907,0.0,0.06603226278779246,0.002303930343213821
69,confidence_impurity_centrality,5,0.030439354666959455,0.2816104098638036,0.2886997382057164,0.0006272547080810767,0.012510622165290603,0.32730217831690367,0.0,0.05729747193543408,0.0015129701378109779
70,lift_impurity_centrality,5,0.037613333005607166,0.25593026974224403,0.30689613734101645,0.0010315294528089945,0.015202706190858175,0.29281549934379014,0.0,0.08802210746652721,0.0024884174571478254
71,equal_impurity_centrality,5,0.029845790257929935,0.27672176253997244,0.2873017087314449,0.0006263171519902088,0.01280953946886879,0.32298879438863365,0.0,0.06823056424829407,0.001475523212866002
72,relevance_impurity_centrality,5,0.033412587918850045,0.5257232565064186,0.15548619220667434,0.01032010195105455,0.02400786040875959,0.17940839306647785,0.0,0.06885166015724178,0.0027899477845232763
73,support_relevance_centrality,5,0.07386198846151808,0.6014292323858945,2.186293982319579e-06,0.01195002446029827,0.0004338419087646668,0.1646030756867444,0.0,0.14769930500625142,2.0345796546303566e-05
74,confidence_relevance_centrality,5,0.026195588896656546,0.8017759343776741,3.605201455218301e-05,0.011065428228451865,0.0018523197298440414,0.10662922538678617,0.0,0.05226293803608928,0.00018251332994578492
75,lift_relevance_centrality,5,0.015164579851378205,0.8507620831990973,3.6247439338599274e-05,0.012086415140832944,0.0020077764405760693,0.08955283563270479,0.0,0.030190708058836353,0.00019935423723575898
76,equal_relevance_centrality,5,0.024932650328376642,0.8112778051568488,3.758586817000731e-05,0.010534320848353344,0.00199506268193223,0.10127880402539975,0.0,0.04977141740949473,0.00017235368142446805
77,relevance_relevance_centrality,5,0.04891296770435124,0.718224336265986,2.6718381247940263e-06,0.015194584934191437,0.0005473459772726279,0.11929769989781587,0.0,0.09779446051542315,2.593286683481495e-05
78,perm,6,0.4999999999999997,0.10666666666666673,0.0,0.0,-0.013333333333333277,0.3266666666666666,0.06000000000000005,0.020000000000000122,0.0
79,gini,6,0.09202871353143827,0.6870400834908854,0.009371814209632387,0.017731326786242934,0.010262278885541081,0.14545894084124222,0.016775341316274315,0.02133150093874335,0.0
80,shap,6,0.32511580814584085,0.21179397216717474,0.007539221180751324,0.0015821880218786976,0.06292056771488731,0.2534789059302419,0.10656417085052942,0.031005165988695713,0.0
81,support_impurity_centrality,6,0.2621851251226895,0.23913977494618574,0.06137591693032137,0.0184607025074102,0.05930675639763368,0.18031425620621946,0.05350934675343319,0.12570812113610685,0.0
82,confidence_impurity_centrality,6,0.18211431745223797,0.19920276864077302,0.09255908935378394,0.020004841887664705,0.10485536040922552,0.17357164577795928,0.11731015538123363,0.11038182109712195,0.0
83,lift_impurity_centrality,6,0.1795431284317813,0.19308136815719965,0.08447977842940359,0.020214008984603914,0.11467504912220407,0.16613501865525923,0.1089733286163165,0.1328983196032318,0.0
84,equal_impurity_centrality,6,0.18211431745223797,0.19920276864077302,0.09255908935378394,0.020004841887664705,0.10485536040922552,0.17357164577795928,0.11731015538123363,0.11038182109712195,0.0
85,relevance_impurity_centrality,6,0.2917078919749893,0.21765748762407935,0.04798173914732486,0.01637621833469452,0.06734750199722468,0.1735812149297481,0.04602783437169776,0.13932011162024144,0.0
86,support_relevance_centrality,6,0.07620922136295652,0.6540536540947164,2.5106133834152246e-05,2.7038970963052335e-06,4.790288240208569e-08,0.26761674436723965,0.0020901796774445516,2.342563830047732e-06,0.0
87,confidence_relevance_centrality,6,0.0797745329757173,0.6391219942625366,0.0003884838299867954,0.00011588863549801956,6.243905258085583e-06,0.27430978286817154,0.006159136435539965,0.0001239370872917791,0.0
88,lift_relevance_centrality,6,0.08170487058320197,0.6276056020347524,0.0007004637187683102,0.0001837084828828875,9.532166036022846e-06,0.2785252165099342,0.011137201736961816,0.00013340476746240678,0.0
89,equal_relevance_centrality,6,0.0797745329757173,0.6391219942625366,0.0003884838299867954,0.00011588863549801956,6.243905258085583e-06,0.27430978286817154,0.006159136435539965,0.0001239370872917791,0.0
90,relevance_relevance_centrality,6,0.07556616611488312,0.6542469551539241,4.720927028212701e-05,4.8472431418897205e-06,8.049755652612585e-08,0.2662004119081314,0.003931856646837067,2.473165243887039e-06,0.0
91,perm,7,0.17647058823529438,-0.11764705882353078,0.14705882352941155,0.0,0.17647058823529413,0.5000000000000013,0.11764705882352942,0.0,0.0
92,gini,7,0.045418877249584655,0.7257783176290061,0.07789095022052002,0.0,0.010663017590963502,0.10459012273610864,0.03565871457381702,0.0,0.0
93,shap,7,0.13525131831194284,0.20863432044996072,0.24274567090508942,0.0,0.06763526999409376,0.16837344650836855,0.1773599738305447,0.0,0.0
94,support_impurity_centrality,7,0.25995156998744284,0.19784440324123803,0.07828052702695643,0.0,0.08901109011154147,0.13722394985700037,0.23768845977582082,0.0,0.0
95,confidence_impurity_centrality,7,0.17164723688022743,0.12310149749823575,0.04740100055719762,0.0,0.14907163220810282,0.1783591042468221,0.3304195286094142,0.0,0.0
96,lift_impurity_centrality,7,0.19910795173892956,0.10886912797796769,0.0379536488869571,0.0,0.16817632539687194,0.16604102839500798,0.3198519176042657,0.0,0.0
97,equal_impurity_centrality,7,0.1706580533949817,0.12384456247019536,0.049165851868865997,0.0,0.14785158600384085,0.17814596393071017,0.3303339823314059,0.0,0.0
98,relevance_impurity_centrality,7,0.26477724639806305,0.1667545138636477,0.06023302014498352,0.0,0.09857118520904823,0.15674205159003946,0.25292198279421807,0.0,0.0
99,support_relevance_centrality,7,0.03631618795208655,0.7297041142205198,0.0005532757116057139,0.0,1.4010563946597526e-07,0.23338458923981467,4.169277033378971e-05,0.0,0.0
100,confidence_relevance_centrality,7,0.02589345569763501,0.7882692715179516,0.00681879376258007,0.0,1.0036941364640429e-05,0.17829069047652227,0.0007177516039464099,0.0,0.0
101,lift_relevance_centrality,7,0.01758550084783277,0.8392533631555846,0.005618959924292142,0.0,1.0799605217012937e-05,0.13693691405044653,0.0005944624166268628,0.0,0.0
102,equal_relevance_centrality,7,0.02553237536436247,0.7892223037493031,0.007988936033948077,0.0,9.896977731539406e-06,0.17653549776460462,0.0007109901100502007,0.0,0.0
103,relevance_relevance_centrality,7,0.027806686778584593,0.782277161249822,0.0005591775213337657,0.0,1.843508663735351e-07,0.18932043353737368,3.635656201948469e-05,0.0,0.0
104,perm,8,0.021390374331550843,0.6256684491978609,0.0,0.0,0.0,0.3529411764705883,0.0,0.0,0.0
105,gini,8,0.06968302149445385,0.752455936886355,0.005232806100682924,0.0,0.0,0.1430207802861919,0.01441063775706723,0.015196817475249192,0.0
106,shap,8,0.15762895415110337,0.47158223784360886,0.04912165009413356,0.0,0.0,0.24694839662426804,0.044370263030839574,0.030348498256046717,0.0
107,support_impurity_centrality,8,0.2921311432980532,0.31375805695624953,0.0544130181327918,0.0,0.0,0.26316648821236593,0.037155361886542664,0.0393759315139969,0.0
108,confidence_impurity_centrality,8,0.1929053644785179,0.29693325691630146,0.23385653373085152,0.0,0.0,0.233884120484652,0.029239290689257312,0.013181433700419782,0.0
109,lift_impurity_centrality,8,0.2337743526961924,0.24315900275060456,0.2349210329743467,0.0,0.0,0.23396001885319817,0.043154989724648166,0.011030603001010072,0.0
110,equal_impurity_centrality,8,0.1945266806036168,0.29388410614233423,0.22978310544228578,0.0,0.0,0.23366261600572089,0.033240638079346845,0.014902853726695474,0.0
111,relevance_impurity_centrality,8,0.3139942466354158,0.2694979164360968,0.05789020083772944,0.0,0.0,0.2785624290405157,0.05077354986062265,0.02928165718961962,0.0
112,support_relevance_centrality,8,0.054349069887654734,0.7534411824294202,5.469999406316235e-09,0.0,0.0,0.19126248148355546,0.0009311153596479218,1.614536972237605e-05,0.0
113,confidence_relevance_centrality,8,0.020575458224929833,0.9037724556068563,3.7518506014199606e-07,0.0,0.0,0.07445505545307247,0.0010855509226965437,0.00011110460738472812,0.0
