,method,fold,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
10,lift_relevance_centrality,0,0.001967373518777628,0.00011618792440787955,0.0,0.00011387380612365139,0.03095757623823279,0.0001920292362864139,0.08934214488130347,0.0005542531616671318,0.0,0.2581883621662364,0.00014673700764294398,0.0012909550817447534,0.23363027710173448,9.475492196075249e-05,0.0,0.00017439383012086398,0.06806671196164531,0.0,7.502015739307067e-05,0.16710014283148458,0.0,0.14798920617323783
11,equal_relevance_centrality,0,0.004511900864575669,0.00011399316687115363,0.0,0.00022405548510276752,0.07245249709203884,0.00044942141389382674,0.07081018519559659,0.001228374700134219,0.0,0.22466446209769014,0.0003177392902784572,0.002690952030204148,0.27496115187419506,0.00015297360114035837,0.0,0.0003806323404311913,0.07576287316229498,0.0,0.00011137264835786455,0.14085772206531885,0.0,0.1303096929718759
12,relevance_relevance_centrality,0,0.0009952492257353075,6.800000587613674e-06,0.0,1.0938145931822742e-05,0.04296471145931589,3.886593372695441e-05,0.08862371395251895,0.0005216792485574168,0.0,0.2518265883885912,1.871424610510818e-05,0.00029549259326151864,0.25051429392214536,1.2257904301031773e-05,0.0,2.7494289087253872e-05,0.056587367777899536,0.0,4.354409063400896e-06,0.16309018378247295,0.0,0.14446129472069877
13,perm,1,-0.17647058823529466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5265907841034446e-16,0.0,1.2352941176470604,0.0,0.0,-0.05882352941176524,0.0,0.0,0.0,0.0,0.0,0.0
14,gini,1,0.08263890142971632,0.0,0.0,0.0,0.0,0.0,0.0689884950781818,0.031279698826477825,0.0,0.05898881047587071,0.1572635859312007,0.0,0.3689107480814029,0.0,0.0,0.12214792921772172,0.0,0.0,0.0,0.03525544596848939,0.0,0.07452638499093872
15,shap,1,0.09784840997989849,0.0,0.0,0.0,0.0,0.0,0.035337888862179236,0.03042571127813862,0.0,0.0764777751476772,0.11859879891967792,0.0,0.3293387675604666,0.0,0.0,0.15873754934898743,0.0,0.0,0.0,0.06951394205478462,0.0,0.08372115684819
16,support_impurity_centrality,1,0.12330122463993004,0.0,0.0,0.0,0.0,0.0,0.017314204600868806,0.000623578760983253,0.0,0.02716717923250609,0.1883085897910505,0.0,0.3440356034850313,0.0,0.0,0.24840476182094565,0.0,0.0,0.0,0.015767672049854284,0.0,0.035077185618830053
17,confidence_impurity_centrality,1,0.19064764696718695,0.0,0.0,0.0,0.0,0.0,0.026916756771970526,0.0019152075195994127,0.0,0.04499188758572991,0.1516094248704443,0.0,0.22348363443055513,0.0,0.0,0.24407958840693428,0.0,0.0,0.0,0.05938588797268109,0.0,0.05696996547489844
18,lift_impurity_centrality,1,0.15706927848035124,0.0,0.0,0.0,0.0,0.0,0.015599371910806634,0.0011100333255648193,0.0,0.02607479864712668,0.17245027556630174,0.0,0.3103024603110706,0.0,0.0,0.24996124811197026,0.0,0.0,0.0,0.03441839245006151,0.0,0.033014141196746505
19,equal_impurity_centrality,1,0.19280192320016817,0.0,0.0,0.0,0.0,0.0,0.023581348178936944,0.0017004160802133977,0.0,0.038417109541379536,0.15074623645888185,0.0,0.2479699115381125,0.0,0.0,0.22661521307109614,0.0,0.0,0.0,0.07030027956214979,0.0,0.047867562369061645
