,method,fold,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize
11,equal_relevance_centrality,0,0.0,0.19070600190297798,0.00013536969290483495,0.6993710687103766,0.004557559263942676,0.0024534800275518766,0.0014635030136995787,0.0,0.023774334455933115,0.0,0.0,0.07250291164267551,0.0001624606294500448,0.004873310660487679,0.0,0.0
12,relevance_relevance_centrality,0,0.0,0.18879549483659008,3.4649116306057016e-05,0.7098948899811365,0.0033690615394421845,0.0016934571795933799,0.000986196141684374,0.0,0.018291177395055314,0.0,0.0,0.07314675125300721,4.6217666737249905e-05,0.003742104890447619,0.0,0.0
13,perm,1,0.0,0.22033898305084743,0.050847457627118633,0.3898305084745763,0.0,0.0,0.0,0.0,0.13559322033898305,0.0,0.0,0.1440677966101695,0.05932203389830507,0.0,0.0,0.0
14,gini,1,0.0,0.21252176573015205,0.019672984611040514,0.3843827944844463,0.0,0.04111252294225612,0.0,0.0,0.08441717845545667,0.06885544613864182,0.0,0.1406176761259354,0.048419631512071154,0.0,0.0,0.0
15,shap,1,0.0,0.19214025303508253,0.02260820840520033,0.3878222617982636,0.0,0.02572200179275013,0.0,0.0,0.12779835677992119,0.019597715420565875,0.0,0.1514100616003766,0.07290114116783977,0.0,0.0,0.0
16,support_impurity_centrality,1,0.0,0.0848556927035441,0.050837911807732644,0.20729279194633166,0.0,0.10780797218004469,0.0,0.0,0.24670519778233216,0.13822799819071385,0.0,0.04999117510312831,0.11428126028617258,0.0,0.0,0.0
17,confidence_impurity_centrality,1,0.0,0.105406792005846,0.040155468552919266,0.12590197940027675,0.0,0.13375022928291358,0.0,0.0,0.2910583158491659,0.09863568194559064,0.0,0.0460155499096995,0.15907598305358836,0.0,0.0,0.0
18,lift_impurity_centrality,1,0.0,0.1124906066543813,0.07550155389576205,0.1342509424751585,0.0,0.03544845602770242,0.0,0.0,0.2084720406072741,0.10834791135813403,0.0,0.09063471586884596,0.2348537731127415,0.0,0.0,0.0
19,equal_impurity_centrality,1,0.0,0.105406792005846,0.040155468552919266,0.12590197940027675,0.0,0.13375022928291358,0.0,0.0,0.2910583158491659,0.09863568194559064,0.0,0.0460155499096995,0.15907598305358836,0.0,0.0,0.0
20,relevance_impurity_centrality,1,0.0,0.07759879913289582,0.047349769079990806,0.15181286347740455,0.0,0.1576040311479832,0.0,0.0,0.27267752185658234,0.11970684301772865,0.0,0.033077241668023595,0.14017293061939087,0.0,0.0,0.0
21,support_relevance_centrality,1,0.0,0.1054265245140354,0.00029474003192622933,0.8550404751856886,0.0,0.002101204328445325,0.0,0.0,0.007126269658004879,0.0022636667675883914,0.0,0.027333545121684334,0.00041357439262683994,0.0,0.0,0.0
22,confidence_relevance_centrality,1,0.0,0.18984297978565762,0.0011923306296634138,0.6724776157275113,0.0,0.014276798839047236,0.0,0.0,0.042987410179610885,0.008781551301016289,0.0,0.06821954225872072,0.0022217712787725445,0.0,0.0,0.0
23,lift_relevance_centrality,1,0.0,0.33296219176792446,0.0038713857471409856,0.23154192188056874,0.0,0.06675206197402514,0.0,0.0,0.18632915769292843,0.026208581225542177,0.0,0.1429536930654877,0.009381006646382388,0.0,0.0,0.0
24,equal_relevance_centrality,1,0.0,0.18984297978565762,0.0011923306296634138,0.6724776157275113,0.0,0.014276798839047236,0.0,0.0,0.042987410179610885,0.008781551301016289,0.0,0.06821954225872072,0.0022217712787725445,0.0,0.0,0.0
25,relevance_relevance_centrality,1,0.0,0.18700112656133655,0.0011764094603038283,0.6823479313246049,0.0,0.012057412009585065,0.0,0.0,0.037484841353021076,0.008329848557384447,0.0,0.06961174313238461,0.0019906876013794563,0.0,0.0,0.0
26,perm,2,0.0,0.2674418604651163,0.0,0.441860465116279,0.011627906976744182,0.0,0.05813953488372091,0.0,0.08139534883720927,0.0,0.0,0.17441860465116282,0.0,-0.034883720930232544,0.0,0.0
27,gini,2,0.0,0.21386415040995194,0.0,0.3857435679954764,0.07522349675470465,0.0,0.018418922044876246,0.0,0.08132418425385421,0.0,0.0,0.1422116200169635,0.0289440203562341,0.05427003816793893,0.0,0.0
28,shap,2,0.0,0.20410402656830764,0.0,0.41197033919710846,0.02081798392834366,0.0,0.023624022347887266,0.0,0.11788496945872776,0.0,0.0,0.15174554374387864,0.00848082024897867,0.061372294506767955,0.0,0.0
29,support_impurity_centrality,2,0.0,0.11804443043375493,0.0,0.26675316313227493,0.04516541777309325,0.0,0.044272303401643794,0.0,0.1642039099869521,0.0,0.0,0.15686702442613704,0.04835575823291534,0.15633799261322862,0.0,0.0
30,confidence_impurity_centrality,2,0.0,0.09324363184718101,0.0,0.17006670732349655,0.03446306658645444,0.0,0.08353697341796902,0.0,0.19571917854943863,0.0,0.0,0.12785791992633327,0.1158003052012298,0.1793122171478973,0.0,0.0
31,lift_impurity_centrality,2,0.0,0.4658625886823339,0.0,-0.06506323181620868,0.09487975810825663,0.0,0.2548100305787889,0.0,0.3637845311626209,0.0,0.0,0.5097329362837724,0.11673079393616477,-0.7407374069357289,0.0,0.0
32,equal_impurity_centrality,2,0.0,0.09324363184718101,0.0,0.17006670732349655,0.03446306658645444,0.0,0.08353697341796902,0.0,0.19571917854943863,0.0,0.0,0.12785791992633327,0.1158003052012298,0.1793122171478973,0.0,0.0
33,relevance_impurity_centrality,2,0.0,0.11720530747775898,0.0,0.21377031684317724,0.03338962919574191,0.0,0.03406984385601264,0.0,0.17815437309358184,0.0,0.0,0.16071474825211485,0.03730405072587746,0.22539173055573514,0.0,0.0
34,support_relevance_centrality,2,0.0,0.11256322991834851,0.0,0.8397649466634296,0.000996741991848865,0.0,0.00026709188725910897,0.0,0.005080926622534893,0.0,0.0,0.037490750971816644,8.469724900803134e-06,0.003827842219861586,0.0,0.0
35,confidence_relevance_centrality,2,0.0,0.2064159387078725,0.0,0.6218433052862321,0.003995991786257395,0.0,0.0010914608945073218,0.0,0.03494170736875957,0.0,0.0,0.10940072662744056,0.00010372567677829638,0.02220714365215222,0.0,0.0
36,lift_relevance_centrality,2,0.0,0.29195164554144387,0.0,0.21873909046922507,0.008123725640407213,0.0,0.00204649164284258,0.0,0.16709503220987731,0.0,0.0,0.2215741416991399,0.00020998656608376553,0.09025988623098037,0.0,0.0
37,equal_relevance_centrality,2,0.0,0.2064159387078725,0.0,0.6218433052862321,0.003995991786257395,0.0,0.0010914608945073218,0.0,0.03494170736875957,0.0,0.0,0.10940072662744056,0.00010372567677829638,0.02220714365215222,0.0,0.0
