,method,fold,buying_high,buying_low,buying_med,buying_vhigh,maint_high,maint_low,maint_med,maint_vhigh,doors_2,doors_3,doors_4,doors_5more,persons_2,persons_4,persons_more,lug_boot_big,lug_boot_med,lug_boot_small,safety_high,safety_low,safety_med
56,confidence_impurity_centrality,4,0.06496563283462124,0.03847162727203603,0.0388115299759631,0.06908645858275476,0.05658035639888716,0.03491949650306841,0.040986778673906224,0.06011490188485204,0.05416755506393277,0.045256520965747976,0.0,0.0,0.07960497157692942,0.044894490650470215,0.05928148723762074,0.020571103679585867,0.059398724618591206,0.05733831549220896,0.028300371844259306,0.07332487497336315,0.07392480177120135
57,lift_impurity_centrality,4,1.8801911087583322e-05,-1.8856579160951413e-05,-8.675338616642773e-06,-4.764056751088086e-06,-2.506010025128129e-06,-3.7567473564909437e-07,1.465129312207984e-06,0.0004749707720975395,-4.915871659586967e-07,-4.0965785915237947e-07,-0.0,-0.0,-0.0001003378345415267,-4.946956507963735e-07,-2.717093426032145e-06,-2.556818421913549e-07,-3.105762977086382e-06,-0.00017999178023930072,-2.1814209598230993e-07,-0.15472960330266144,1.1545575653852516
58,equal_impurity_centrality,4,0.06496563283462124,0.03847162727203603,0.0388115299759631,0.06908645858275476,0.05658035639888716,0.03491949650306841,0.040986778673906224,0.06011490188485204,0.05416755506393277,0.045256520965747976,0.0,0.0,0.07960497157692942,0.044894490650470215,0.05928148723762074,0.020571103679585867,0.059398724618591206,0.05733831549220896,0.028300371844259306,0.07332487497336315,0.07392480177120135
59,relevance_impurity_centrality,4,0.11109804356712918,0.019829504198731612,0.02069240490346233,0.11642240545857657,0.047408688756327214,0.01757888233646967,0.019845179583363192,0.09147068004032993,0.04169149586258327,0.012203484352365141,0.0,0.0,0.1375650257689011,0.0038083223848573043,0.016718410040239537,0.002362629781750678,0.02303498440597883,0.07650810628756749,0.003432315402716401,0.11397216264638166,0.12435727422226872
60,support_relevance_centrality,4,0.00010633259536901491,1.2720750828191157e-07,2.4234351279240675e-07,0.00010727425201133719,4.4541283628820624e-05,8.416643761955768e-06,1.2282194183124303e-06,0.0001246990929835112,4.839301186625824e-06,9.375737914670413e-07,0.0,0.0,0.21254231766155507,3.9564498880615177e-10,4.586121508186874e-09,1.9936255404696065e-07,3.250259199116109e-05,7.872307111188218e-05,9.667346216594635e-06,0.7868567788857392,8.116758589334545e-05
61,confidence_relevance_centrality,4,0.0013842771917893868,7.707017190518748e-06,1.1648734770526997e-05,0.0015059884055765042,0.0006480306962738507,0.0002446148717315165,4.083467401202714e-05,0.0016893958743132104,0.00010896804904089403,3.109260440268242e-05,0.0,0.0,0.2921620824064905,5.411405208330058e-08,5.965389348429415e-07,6.685574255753005e-06,0.0005627359982657983,0.0014301359892802765,9.636662894799421e-05,0.6985645817324498,0.0015042028982217351
62,lift_relevance_centrality,4,0.011982046427932581,0.00010075009515998037,0.0001468553065431725,0.012363352168650386,0.006249034101880942,0.003480810336364511,0.00047020382490041825,0.013777757554798925,0.0013561813624952245,0.0004909592589782317,0.0,0.0,0.26540475844353434,1.3957488785777983e-07,9.173089455858525e-06,6.378539290540087e-05,0.00894474515961366,0.021751873962605,0.00025090201336572997,0.6296621557351465,0.023494516190781224
63,equal_relevance_centrality,4,0.0013842771917893868,7.707017190518748e-06,1.1648734770526997e-05,0.0015059884055765042,0.0006480306962738507,0.0002446148717315165,4.083467401202714e-05,0.0016893958743132104,0.00010896804904089403,3.109260440268242e-05,0.0,0.0,0.2921620824064905,5.411405208330058e-08,5.965389348429415e-07,6.685574255753005e-06,0.0005627359982657983,0.0014301359892802765,9.636662894799421e-05,0.6985645817324498,0.0015042028982217351
64,relevance_relevance_centrality,4,0.0008035869337524477,1.7868872529586976e-06,2.9184473314054532e-06,0.0007831187812193145,0.0003910789129164662,0.00012883130935939722,1.10656935083411e-05,0.0009115258784378893,5.0504008369624814e-05,1.6890491358804528e-05,0.0,0.0,0.21152699534787486,9.203365905949006e-10,8.119164040800422e-08,1.5127799941868102e-06,0.0005880427934969977,0.001373974894632145,2.9679327932951503e-05,0.7819409000740226,0.0014375053265626191
65,perm,5,0.0726520968694625,0.06733608978145304,0.05316007088009451,0.03425871234494976,0.05552274069698759,0.014176018901358514,0.018310691080921416,0.12758417011222686,0.011813349084465413,-0.0029533372711163784,0.0,-0.00295333727111639,0.22740696987595993,0.0,0.0,-0.004725339633786202,0.0029533372711163333,0.061429415239220304,0.03366804489072651,0.18901358535144722,0.041346721795629045
