,method,fold,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100
10,lift_relevance_centrality,0,0.40541734194745527,9.112534049768274e-06,0.0001178516724326696,0.0,0.03180277118914648,8.693583084385482e-05,2.8089926907278065e-05,1.8337919213876176e-07,0.06026023825957288,0.0,0.0,6.056214526205262e-06,1.090870985415295e-06,6.186460593844367e-05,0.0,0.00027079460190037273,0.0003685638756154897,0.0,0.0,0.0016158460675866609,0.0,3.0751275636422755e-05,0.00020035347350266363,0.0,0.0004806320829314734,0.0,9.757652535775119e-05,0.10716725369638187,0.0001693100154939848,0.0,0.0,0.0,2.4229560280640714e-05,0.0,0.0,3.138134776083112e-05,0.0003123652478925954,0.0,0.0,0.0,0.0012272103434664342,0.0,0.0002243526504722306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7475178542205864e-05,0.00036469414412981587,0.0005064290783904536,8.101127367129788e-05,0.0,0.0002267600819834465,0.0,0.0,0.0,0.04028953156387189,0.0,4.024937601383124e-05,0.0,0.05712698460800723,1.3381977215339213e-05,0.0,3.0845316343429726e-06,0.0,0.0,0.0,0.001956500547782499,0.0,0.1562947584117006,0.0,0.0,1.0814670482755874e-07,0.0,0.001542012143287863,0.0019011383317767247,0.0032769090181856905,0.0,0.0,3.787485102886096e-05,0.0,0.0006614201507979167,0.0,0.0,0.0,0.0030119519837118218,0.0,0.0,0.00035440139206620276,0.0,0.006395423982218209,0.0,0.0005665569547707034,0.0,0.0,0.11529918507717844
11,equal_relevance_centrality,0,0.4057701596135819,8.939148368936945e-06,0.00011560929286408347,0.0,0.031197657482874983,8.52816892705445e-05,2.755545532964819e-05,1.7988996188538006e-07,0.05919184879629065,0.0,0.0,5.940981991140016e-06,1.0701147643811948e-06,6.068749929702633e-05,0.0,0.00026564215203566245,0.0003615511713650375,0.0,0.0,0.001585101999716826,0.0,3.016616635626823e-05,0.00019654132705401858,0.0,0.0004714870265497874,0.0,9.571992121240319e-05,0.10512816633051085,0.00019944724783524623,0.0,0.0,0.0,2.3768540580973628e-05,0.0,0.0,3.07842499529084e-05,0.0003064218271371107,0.0,0.0,0.0,0.0012038603419437164,0.0,0.00022008385991230387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.676213237838563e-05,0.0003577550506298784,0.0005228525421073244,7.946985931914563e-05,0.0,0.00022244548865864893,0.0,0.0,0.0,0.0395229362641081,0.0,3.948354484355494e-05,0.0,0.05812058388055176,1.312735618249146e-05,0.0,3.0258417600238492e-06,0.0,0.0,0.0,0.0019192739024196054,0.0,0.16173319899711278,0.0,0.0,1.0608895767332773e-07,0.0,0.0015908501450115373,0.0018649653251124004,0.003214564084973361,0.0,0.0,3.715420025561767e-05,0.0,0.000648835348917735,0.0,0.0,0.0,0.0032063866816337927,0.0,0.0,0.00034765814457697885,0.0,0.006273739402508618,0.0,0.000555777003517312,0.0,0.0,0.11310537658770498
12,relevance_relevance_centrality,0,0.46585317849845326,1.9007793965169405e-06,6.887635850615366e-05,0.0,0.017917588046913336,4.779736091305849e-05,1.5709279300328614e-05,1.2854934746312994e-08,0.04329278761941387,0.0,0.0,2.464485442653207e-06,1.3977123916432612e-07,3.025059847191316e-05,0.0,0.00029487683347055366,0.00039464991589568466,0.0,0.0,0.0006934212666709729,0.0,1.5348640749056897e-05,0.00012190235018380818,0.0,0.0006822872425401742,0.0,5.4543051711930185e-05,0.07513004112687363,0.0001428939834934789,0.0,0.0,0.0,2.761205668487148e-05,0.0,0.0,3.365558296795945e-05,0.0002526670912328712,0.0,0.0,0.0,0.000700140584176615,0.0,0.0001679429931969968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5261303539638422e-05,0.0003084736976827479,0.0007065413914181621,6.885031604492017e-05,0.0,0.00022919118415183783,0.0,0.0,0.0,0.022597088614254416,0.0,1.9805549570666262e-05,0.0,0.0844247542647974,3.728374532085261e-06,0.0,7.489702042686533e-07,0.0,0.0,0.0,0.0020492006218464872,0.0,0.15904196203621684,0.0,0.0,7.580979998236329e-09,0.0,0.002127886921568144,0.002777084791303147,0.0013273461171642228,0.0,0.0,2.130513885995063e-05,0.0,0.00040405920020658754,0.0,0.0,0.0,0.0031550317176860603,0.0,0.0,0.00048285580776255495,0.0,0.009353971844273239,0.0,0.00027762840758071314,0.0,0.0,0.10465452777552234
13,perm,1,0.0,0.0,0.9999999999999656,0.0,0.0,-0.6363636363636106,1.727272727272667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09090909090908458,0.0,0.0,-0.09090909090908704,0.0,0.09090909090908829,-0.09090909090908704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2727272727272274,-1.818181818181747,0.0,0.0,0.0,0.0,-0.45454545454543466,0.0,0.0,0.0,0.0,0.0,2.4626765273502567e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0909090909089745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18181818181817408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7272727272726656,0.0,0.0,0.0,0.0,0.0,1.454545454545404,0.0,-0.18181818181817286,0.3636363636363525
14,gini,1,0.0,0.0,0.048349349959471356,0.0,0.0,0.04776957425484888,0.055067601277499545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04261068320118255,0.0,0.0,0.036981832327425856,0.0,0.03687549085029307,0.07372175773462386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05846591575951412,0.03693470358094759,0.0,0.0,0.0,0.0,0.053262358960247266,0.0,0.0,0.0,0.0,0.0,0.08441233512579963,0.0,0.0,0.0,0.0,0.026682338052610156,0.0,0.0,0.0,0.05854946560722511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021491472091122784,0.0,0.0,0.0,0.0,0.0,0.02624592810091072,0.0,0.0,0.0,0.05759672574870456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04723372927501384,0.0,0.0,0.0,0.0,0.0,0.026812114760967894,0.0,0.07488300511869894,0.08605361821289231
15,shap,1,0.0,0.0,0.06658375285078183,0.0,0.0,0.042985999352994304,0.08426358744493832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054117791952603286,0.0,0.0,0.029625447557286796,0.0,0.04285605100940681,0.07989022962472575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0723710115365561,0.044370800369309744,0.0,0.0,0.0,0.0,0.055885418496942944,0.0,0.0,0.0,0.0,0.0,0.02492777976219482,0.0,0.0,0.0,0.0,0.005826809312496458,0.0,0.0,0.0,0.07270511109114514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011705104959867653,0.0,0.0,0.0,0.0,0.0,0.08193196982196022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0629715002785968,0.0,0.0,0.0,0.0,0.0,0.028461471219059425,0.0,0.06414541853311861,0.07437474482601494
16,support_impurity_centrality,1,0.0,0.0,0.025964075227493028,0.0,0.0,0.04657952314269564,0.07306620088392743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08291330536199654,0.0,0.0,0.07161761629315536,0.0,0.029513858000820296,0.0694958202212245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014567982264784873,0.03828770729470591,0.0,0.0,0.0,0.0,0.08012123795000749,0.0,0.0,0.0,0.0,0.0,0.024881716557393734,0.0,0.0,0.0,0.0,0.018921516315024013,0.0,0.0,0.0,0.06600400374212567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03609639117206491,0.0,0.0,0.0,0.0,0.0,0.03625026933228276,0.0,0.0,0.0,0.03712187890497295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03608206366823436,0.0,0.0,0.0,0.0,0.0,0.029839779275379924,0.0,0.09498604196981243,0.10080019646020458
17,confidence_impurity_centrality,1,0.0,0.0,0.04233064948844012,0.0,0.0,0.04797680973776783,0.06380644362564196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0622821636430555,0.0,0.0,0.06437736647507021,0.0,0.048554212571666706,0.06348453298017619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005421681339933986,0.0395202778415443,0.0,0.0,0.0,0.0,0.06794870707634237,0.0,0.0,0.0,0.0,0.0,0.033445228690566715,0.0,0.0,0.0,0.0,0.03902187446940141,0.0,0.0,0.0,0.04939717229278136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042614811534958066,0.0,0.0,0.0,0.0,0.0,0.04270844867163581,0.0,0.0,0.0,0.03856522911310221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049373708054568484,0.0,0.0,0.0,0.0,0.0,0.03523759485746123,0.0,0.08260296386920847,0.08620963687261761
18,lift_impurity_centrality,1,0.0,0.0,0.043712710626403584,0.0,0.0,0.04954343670156707,0.061173526855626534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0643163648427079,0.0,0.0,0.06509289244807859,0.0,0.050140000223425234,0.06555720178698572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005598803787997304,0.040811031038722675,0.0,0.0,0.0,0.0,0.06899081827220123,0.0,0.0,0.0,0.0,0.0,0.034536129380251385,0.0,0.0,0.0,0.0,0.04029661588677071,0.0,0.0,0.0,0.051009638306928395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04400697798987196,0.0,0.0,0.0,0.0,0.0,0.04410354744950436,0.0,0.0,0.0,0.03769591308929776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0509857369398173,0.0,0.0,0.0,0.0,0.0,0.03638866428687963,0.0,0.07424422436782464,0.07683468912833548
19,equal_impurity_centrality,1,0.0,0.0,0.042330117696441086,0.0,0.0,0.04797620701411804,0.06380625792095501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06228138120393141,0.0,0.0,0.06437655771430646,0.0,0.04855360259421356,0.06348714494039935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005488937072313331,0.039519781355716425,0.0,0.0,0.0,0.0,0.06794785344949741,0.0,0.0,0.0,0.0,0.0,0.03344480852444032,0.0,0.0,0.0,0.0,0.03902138424492149,0.0,0.0,0.0,0.049397748233384955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042614276173084616,0.0,0.0,0.0,0.0,0.0,0.04270852066503443,0.0,0.0,0.0,0.038564744625372134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0493730877819475,0.0,0.0,0.0,0.0,0.0,0.035237152174175314,0.0,0.08260192614368776,0.08620855383714136
