,method,fold,age,sex,on_thyroxine,query_on_thyroxine,on_antithyroid_medication,thyroid_surgery,query_hypothyroid,query_hyperthyroid,pregnant,sick,tumor,lithium,goitre,TSH_measured,TSH,T3_measured,T3,TT4_measured,TT4,T4U_measured,T4U,FTI_measured,FTI,TBG_measured,TBG
16,support_impurity_centrality,1,0.03326065864790987,0.0,0.03780858696782504,0.0,0.04846740439070882,0.0004697826571172994,0.02796527562423724,0.009370190672456846,0.0,0.018345698617015665,0.0,0.0,0.0,0.0,0.2085921578511825,0.0,0.07320527453083055,0.0,0.05443465811911851,0.0,0.2886981869982425,0.0,0.19938212492335514,0.0,0.0
17,confidence_impurity_centrality,1,0.09275778562205012,0.0,0.049487163151118375,0.0,0.014022129195770283,0.0021768447506618693,0.057231254359478505,0.05876076585403508,0.0,0.003398262437687678,0.0,0.0,0.0,0.0,0.19169462254198205,0.0,0.11116436718513074,0.0,0.12995546902661256,0.0,0.13751866791707756,0.0,0.15183266795839523,0.0,0.0
18,lift_impurity_centrality,1,0.7084144717170332,0.0,0.16684531862612523,0.0,0.07113848717187087,0.018122701203220404,0.14725268963924937,0.3438578950451908,0.0,0.025880749550679042,0.0,0.0,0.0,0.0,0.31561554737149505,0.0,0.209410869726235,0.0,-1.566876843217658,0.0,0.23582375671543904,0.0,0.32451435645111953,0.0,0.0
19,equal_impurity_centrality,1,0.09251951046281179,0.0,0.050036344118132264,0.0,0.014275897427092865,0.002171252896284119,0.05708423935524502,0.058609821857830965,0.0,0.0033895330192561844,0.0,0.0,0.0,0.0,0.19156800345499198,0.0,0.11088695090742329,0.0,0.1296216408754924,0.0,0.1378642338053871,0.0,0.15197257182005214,0.0,0.0
20,relevance_impurity_centrality,1,0.02231761858081471,0.0,0.04356882719651996,0.0,0.06137329251694382,0.0004268881647508082,0.027477837186325505,0.008834263893036145,0.0,0.023736506875550394,0.0,0.0,0.0,0.0,0.23454582405743596,0.0,0.055000041179805684,0.0,0.030212742118106584,0.0,0.27499299620970813,0.0,0.21751316202100232,0.0,0.0
21,support_relevance_centrality,1,6.244485652682554e-08,0.0,2.1957366351583624e-07,0.0,1.771397455288282e-06,8.200295094961924e-05,3.858556446693428e-07,2.888215019618464e-12,0.0,5.658152137454335e-07,0.0,0.0,0.0,0.0,0.9422912548215838,0.0,0.025366076495156625,0.0,0.00023236838493941985,0.0,0.011489749769093971,0.0,0.020535542488554572,0.0,0.0
22,confidence_relevance_centrality,1,3.855091201017507e-06,0.0,1.4442019287660067e-05,0.0,7.11190692957574e-05,0.0004004531777295104,2.4975490349032368e-05,4.483993392145704e-09,0.0,2.2017286478952837e-05,0.0,0.0,0.0,0.0,0.8737696839208449,0.0,0.035321766560995796,0.0,0.0007535997567736373,0.0,0.011144501278251452,0.0,0.07847358186479896,0.0,0.0
23,lift_relevance_centrality,1,6.877642333611198e-06,0.0,0.00023161608440022715,0.0,0.0011531236840118873,0.0003338971940431488,0.00033105964626878114,7.257271842415207e-08,0.0,0.0003585770199160121,0.0,0.0,0.0,0.0,0.7652643153631676,0.0,0.08269166130981653,0.0,0.0008060580151181857,0.0,0.016897224326373042,0.0,0.13192551714183248,0.0,0.0
24,equal_relevance_centrality,1,3.8546981753985124e-06,0.0,1.572767345768793e-05,0.0,7.154085863413429e-05,0.0004004123516245369,2.4972944103809552e-05,4.48353625009987e-09,0.0,2.2015041821901748e-05,0.0,0.0,0.0,0.0,0.8737109744761441,0.0,0.035318165515406286,0.0,0.0007535229274600269,0.0,0.011145509160781466,0.0,0.0785332998688544,0.0,0.0
25,relevance_relevance_centrality,1,6.567468826471855e-08,0.0,4.341561304117397e-06,0.0,3.511158858453881e-05,8.162470319291651e-05,6.0053026580816955e-06,5.6786218722982906e-11,0.0,1.1221218643213555e-05,0.0,0.0,0.0,0.0,0.9393850248133654,0.0,0.02625460205199131,0.0,0.00023143332299879353,0.0,0.01157559804344518,0.0,0.022414971662342006,0.0,0.0
26,perm,2,0.2204724409448814,0.0,0.0,0.0,0.015748031496063332,0.015748031496063054,-0.05511811023621973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456692913385825,0.0,-0.12598425196850221,0.0,0.0,0.0,0.07086614173228444,0.0,0.4015748031496047,0.0,0.0
27,gini,2,0.058178524282290096,0.0,0.0,0.0,0.010383103904059731,0.01164572142900726,0.023511968107381397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2946358195043351,0.0,0.16338493470388407,0.0,0.00425487996875331,0.0,0.102606771661067,0.0,0.331398276439222,0.0,0.0
28,shap,2,0.07768526873799285,0.0,0.0,0.0,0.0014500252911450093,0.003015118131650194,0.02427781471070744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32721053215432394,0.0,0.21247813261846532,0.0,0.0008499591304776882,0.0,0.07746712488808137,0.0,0.27556602433715627,0.0,0.0
29,support_impurity_centrality,2,0.1360192219828089,0.0,0.0,0.0,0.04765843109788945,0.016853660771870005,0.06404406972110221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3072374676698665,0.0,0.13723190229343363,0.0,0.014706759615865442,0.0,0.14500052849166448,0.0,0.1312479583554994,0.0,0.0
30,confidence_impurity_centrality,2,0.16210228964968826,0.0,0.0,0.0,0.015305226570957795,0.03412556496888768,0.07930660601544486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2392512230584891,0.0,0.1545496840865122,0.0,0.04046781983948755,0.0,0.1204504076515571,0.0,0.15444117815897565,0.0,0.0
31,lift_impurity_centrality,2,0.290146779320011,0.0,0.0,0.0,0.02624196566489191,0.05622036062817919,0.09736772267888939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14440837064887263,0.0,0.07816602030673139,0.0,0.09979691215199116,0.0,0.12950909345767095,0.0,0.07814277514276227,0.0,0.0
32,equal_impurity_centrality,2,0.16179745200459042,0.0,0.0,0.0,0.015236254223553108,0.033971779573323424,0.07944824046682739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23949555857911528,0.0,0.15461318826125092,0.0,0.04028545334424234,0.0,0.12104978238094247,0.0,0.15410229116615462,0.0,0.0
33,relevance_impurity_centrality,2,0.13794661268313532,0.0,0.0,0.0,0.057287846656942726,0.003762110695680214,0.06455230387706867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36155505964997986,0.0,0.08536345140576397,0.0,0.016127405091010474,0.0,0.13836458944397967,0.0,0.13504062049643908,0.0,0.0
34,support_relevance_centrality,2,0.018519597018956762,0.0,0.0,0.0,5.5139942284185095e-06,9.651772164989936e-09,5.126273918139778e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9612163075741704,0.0,0.0014507284005970595,0.0,5.227482530345994e-11,0.0,0.00027779136298725754,0.0,0.018529539317621267,0.0,0.0
35,confidence_relevance_centrality,2,0.017336335058015174,0.0,0.0,0.0,0.00016293919530510457,4.7335675042292965e-07,2.50685605472187e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8952765050406705,0.0,0.007908819017709451,0.0,2.2848278943134754e-08,0.0,0.0014902468099331294,0.0,0.07779959011279003,0.0,0.0
36,lift_relevance_centrality,2,0.012718704910788936,0.0,0.0,0.0,0.002260658782649206,2.6533921208498854e-06,0.00033393565644362265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.683774181150218,0.0,0.030222872366139148,0.0,3.1240100246215865e-07,0.0,0.003488643445960846,0.0,0.26719803789467694,0.0,0.0
37,equal_relevance_centrality,2,0.017332977454002075,0.0,0.0,0.0,0.00016290763815682513,4.732650733458814e-07,2.5065791152773236e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8951064082610359,0.0,0.007907302612766173,0.0,2.2843853816785085e-08,0.0,0.0014900063516289823,0.0,0.07797483578233012,0.0,0.0
38,relevance_relevance_centrality,2,0.01829065859884683,0.0,0.0,0.0,0.00010831563151556538,1.2047919944460135e-08,9.976597243524734e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9507177015399175,0.0,0.0021623603235729695,0.0,1.0201113429456868e-09,0.0,0.00035685343296731084,0.0,0.028354120807904986,0.0,0.0
39,perm,3,-0.08219178082191692,0.0,0.0,0.0,0.0,0.003424657534246583,0.04452054794520558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21232876712328744,0.0,0.22260273972602707,0.0,0.05821917808219191,0.0,0.16780821917808222,0.0,0.37328767123287615,0.0,0.0
40,gini,3,0.049134856673980716,0.006281095017828427,0.0,0.0,0.01659438834886747,0.0007848004243274109,0.027629586610182676,0.0,0.0,0.0,0.0040489703420712175,0.0,0.0,0.0,0.2279235478072979,0.0,0.17316121540405244,0.0,0.0307677441774565,0.0,0.1661514468903181,0.0,0.29752234830361707,0.0,0.0
41,shap,3,0.046019824387319413,0.008501728997904199,0.0,0.0,0.015882001673971267,0.024897704305047192,0.012327960361951815,0.0,0.0,0.0,0.0014053693683226827,0.0,0.0,0.0,0.27249689718303455,0.0,0.17184136263850658,0.0,0.05670438610464095,0.0,0.10195393608289895,0.0,0.2879688288964023,0.0,0.0
42,support_impurity_centrality,3,0.12319963907450299,0.011784787035717604,0.0,0.0,0.04016105761493462,0.0007964364700184732,0.06481655614281885,0.0,0.0,0.0,0.005200470459862789,0.0,0.0,0.0,0.2774581481409998,0.0,0.10434491410242637,0.0,0.04508067546596128,0.0,0.2202080547358964,0.0,0.10694926075686086,0.0,0.0
43,confidence_impurity_centrality,3,0.15808606991693097,0.010486490918192409,0.0,0.0,0.006362426128732753,0.004057598382335434,0.09963277396679214,0.0,0.0,0.0,0.028318897668497767,0.0,0.0,0.0,0.19585940156712403,0.0,0.10772142859052869,0.0,0.09141595330971947,0.0,0.16314279790123923,0.0,0.13491616164990708,0.0,0.0
44,lift_impurity_centrality,3,-0.10402104327314837,0.014266968508600278,0.0,0.0,0.029073125727308424,0.018944531191547112,0.34883281645624375,0.0,0.0,0.0,0.06132293920400975,0.0,0.0,0.0,0.04623222493594395,0.0,0.09819701955027338,0.0,0.26245536377631284,0.0,0.06984186138380206,0.0,0.15485419253910676,0.0,0.0
45,equal_impurity_centrality,3,0.15871912685341588,0.01041967392923683,0.0,0.0,0.0063218865278604815,0.004031744499619688,0.09910032574729447,0.0,0.0,0.0,0.028138457568228616,0.0,0.0,0.0,0.19501873724109117,0.0,0.10981462738803106,0.0,0.09112129448069729,0.0,0.16276608886453037,0.0,0.1345480368999942,0.0,0.0
46,relevance_impurity_centrality,3,0.11520754752451538,0.0012686311085982232,0.0,0.0,0.05058016547368746,0.0008335494220502661,0.06954393495999817,0.0,0.0,0.0,0.0035114964212848493,0.0,0.0,0.0,0.31149788537242834,0.0,0.09819308880291365,0.0,0.0469447787258671,0.0,0.18381342261358224,0.0,0.11860549957507431,0.0,0.0
