,method,fold,right-distance,right-weight,left-distance,left-weight
41,shap,3,0.26560507036021225,0.27334081651413716,0.20694659640414637,0.2541075167215042
42,support_impurity_centrality,3,0.2392467112534254,0.26961415036249115,0.23808980507726651,0.25304933330681695
43,confidence_impurity_centrality,3,0.25011852936030177,0.25195738753246066,0.24687889985371847,0.2510451832535191
44,lift_impurity_centrality,3,0.250000000000142,0.24999999999995307,0.24999999999995237,0.24999999999995248
45,equal_impurity_centrality,3,0.25019784760826774,0.25152882679743355,0.24755628304185598,0.25071704255244276
46,relevance_impurity_centrality,3,0.2566288812795357,0.25507416915560943,0.23752307848617984,0.250773871078675
47,support_relevance_centrality,3,0.4484180871295038,0.0481424384028387,0.30018957126718193,0.20324990320047553
48,confidence_relevance_centrality,3,0.42214874928953944,0.06682531792184378,0.3055673898449487,0.2054585429436681
49,lift_relevance_centrality,3,0.42002130065356585,0.06906052749962063,0.30460905578325054,0.206309116063563
50,equal_relevance_centrality,3,0.42187957119595554,0.06714171029589586,0.3054094672417264,0.20556925126642225
51,relevance_relevance_centrality,3,0.4483521581237057,0.04821237234706377,0.3001493854939847,0.20328608403524584
52,perm,4,0.23423423423423417,0.30180180180180183,0.09909909909909909,0.3648648648648649
53,gini,4,0.2732936443092528,0.22862876550012357,0.24405511549787665,0.25402247469274697
54,shap,4,0.2567780024063703,0.2603820587442379,0.2619986952532013,0.22084124359619045
55,support_impurity_centrality,4,0.2637498411188296,0.24992672230314478,0.2276951785324711,0.25862825804555456
56,confidence_impurity_centrality,4,0.24993098604326092,0.250030238225951,0.24997047918528412,0.250068296545504
57,lift_impurity_centrality,4,0.25,0.25,0.25,0.25
58,equal_impurity_centrality,4,0.24993098604326092,0.250030238225951,0.24997047918528412,0.250068296545504
59,relevance_impurity_centrality,4,0.25043998160413117,0.25180642000772063,0.23974689097354965,0.2580067074145986
60,support_relevance_centrality,4,0.1166435306210929,0.36614384639932773,0.3974414248914207,0.11977119808815867
61,confidence_relevance_centrality,4,0.12489685706770078,0.361484908936134,0.382051461298625,0.13156677269754025
62,lift_relevance_centrality,4,0.12695409371470368,0.3597969450662354,0.38089950870031025,0.1323494525187507
63,equal_relevance_centrality,4,0.12489685706770078,0.361484908936134,0.382051461298625,0.13156677269754025
64,relevance_relevance_centrality,4,0.11668786549167841,0.3661053484719644,0.39741974687055354,0.11978703916580359
65,perm,5,0.28571428571428575,0.2664092664092665,0.16988416988416988,0.277992277992278
66,gini,5,0.21539564320397958,0.23818462205439175,0.2628582915276302,0.28356144321399857
67,shap,5,0.26084960115276545,0.24514244793987716,0.234775809867398,0.25923214103995934
68,support_impurity_centrality,5,0.24690935899980193,0.25439023672815225,0.258595020725612,0.24010538354643382
69,confidence_impurity_centrality,5,0.2499334847296641,0.25006550475757755,0.25022762555195727,0.24977338496080106
70,lift_impurity_centrality,5,0.25,0.25,0.25,0.25
71,equal_impurity_centrality,5,0.24995651471524855,0.250105685860203,0.2501883979301893,0.2497494014943592
72,relevance_impurity_centrality,5,0.24881293998500129,0.25372464771060005,0.2590639675413849,0.23839844476301372
73,support_relevance_centrality,5,0.35179369277354383,0.16726220040634712,0.35232808322214537,0.1286160235979637
74,confidence_relevance_centrality,5,0.32758726415967615,0.18096781887197455,0.33286893212266716,0.1585759848456822
75,lift_relevance_centrality,5,0.32596155501082935,0.18249922757908613,0.329954174336998,0.16158504307308652
76,equal_relevance_centrality,5,0.32758627584503863,0.18095211137609424,0.3326369727557634,0.1588246400231037
77,relevance_relevance_centrality,5,0.35157026142577824,0.16745547717947096,0.35232265462007323,0.12865160677467755
78,perm,6,0.13553113553113547,0.19047619047619047,0.3626373626373627,0.3113553113553114
79,gini,6,0.2291670476023976,0.24235863128127944,0.2770927530827993,0.25138156803352363
80,shap,6,0.26653011427724577,0.23852975534238588,0.24051651728175563,0.2544236130986127
81,support_impurity_centrality,6,0.24409228251950293,0.2689558372573286,0.25711760614767665,0.22983427407549187
82,confidence_impurity_centrality,6,0.2689961334572871,0.25564288939725804,0.23018305066993358,0.2451779264755212
83,lift_impurity_centrality,6,0.26882290817412413,0.25112905122231144,0.23487104828291439,0.2451769923206501
84,equal_impurity_centrality,6,0.2673735822709356,0.2538191055511973,0.23208297647862944,0.2467243356992377
85,relevance_impurity_centrality,6,0.2489250601892443,0.2644300154995182,0.2549669891014359,0.23167793520980162
86,support_relevance_centrality,6,0.300973635105635,0.2405989667824864,0.16847727039327756,0.28995012771860107
87,confidence_relevance_centrality,6,0.2826443827577374,0.25500484679264185,0.183723440098433,0.27862733035118775
88,lift_relevance_centrality,6,0.28240503455322286,0.2536929323513495,0.18598600013547575,0.2779160329599519
89,equal_relevance_centrality,6,0.27496012209004883,0.26026772304963747,0.1902544311473153,0.2745177237129983
90,relevance_relevance_centrality,6,0.30194274135927696,0.2388699928055603,0.16834805735185635,0.2908392084833064
91,perm,7,0.17647058823529407,0.2802768166089965,0.33217993079584784,0.21107266435986155
92,gini,7,0.28399026507590003,0.2644440687559494,0.23337938327437557,0.218186282893775
93,shap,7,0.23338256674720032,0.21163312514926133,0.2663896390518023,0.28859466905173603
94,support_impurity_centrality,7,0.22464277070395286,0.29871327633023503,0.25741992094858956,0.21922403201722254
