,method,fold,deg-malig,age_20-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-79,menopause_ge40,menopause_lt40,menopause_premeno,tumor-size_0-4,tumor-size_14-Oct,tumor-size_15-19,tumor-size_20-24,tumor-size_25-29,tumor-size_30-34,tumor-size_35-39,tumor-size_40-44,tumor-size_45-49,tumor-size_50-54,tumor-size_9-May,inv-nodes_0-2,inv-nodes_11-Sep,inv-nodes_14-Dec,inv-nodes_15-17,inv-nodes_24-26,inv-nodes_5-Mar,inv-nodes_8-Jun,node-caps_no,node-caps_yes,breast_left,breast_right,breast-quad_central,breast-quad_left_low,breast-quad_left_up,breast-quad_right_low,breast-quad_right_up,irradiat_no,irradiat_yes
35,confidence_relevance_centrality,2,0.1724159541720776,0.0,1.3515161453534123e-06,0.0026711287647748464,0.0,0.0043240267694174975,0.0,0.19920849159311133,0.0,0.008394458909121352,0.0,0.23932772324615034,8.028005815380054e-05,0.04511439662073513,0.00021002559500706166,0.000863618719815511,0.0018345479064737148,6.162913535928077e-05,0.0,0.0,0.001831574657087838,0.007190563853497045,0.00045032517718993363,0.0,0.0,0.0,0.000743874178261441,0.0,0.0,0.0032031916282722166,1.7840012863125385e-05,0.0,0.0004257275377391905,0.00013758432562402143,0.07630893466704912,0.02627347372831493,0.0,0.0,0.20890927722775832
36,lift_relevance_centrality,2,0.1585166676770055,0.0,1.6876225535894093e-06,0.004337689536652135,0.0,0.004589085972576724,0.0,0.1604173217297719,0.0,0.011511993510910494,0.0,0.1944754856871121,0.00014295307087626048,0.03628639117046076,0.00025811182226086665,0.0007459146168421447,0.0034741767110025713,0.00011203525331408109,0.0,0.0,0.0034717856698525313,0.007089363713232495,0.00036277020059128056,0.0,0.0,0.0,0.0008481353417219312,0.0,0.0,0.004395390922627083,2.5760556744347436e-05,0.0,0.0007072996515496674,0.00019144213603873307,0.07737203973633829,0.021130178572232337,0.0,0.0,0.30953631911773216
37,equal_relevance_centrality,2,0.17214355174487708,0.0,1.1673940926002304e-06,0.003177166390350609,0.0,0.0037368163819879066,0.0,0.18581160508916478,0.0,0.008480094286990206,0.0,0.2075706987864405,6.934320834017336e-05,0.04113610640060435,0.00018141302991388136,0.0007459647413297958,0.0024321487067849408,5.3233169872100256e-05,0.0,0.0,0.002429580554755224,0.006507244431351797,0.000388975709545232,0.0,0.0,0.0,0.0006425334424052905,0.0,0.0,0.00277185205848305,1.5409601801596496e-05,0.0,0.0004622880054831503,0.00011977461757682947,0.08866163539804778,0.02269414104150551,0.0,0.0,0.24976725580829562
38,relevance_relevance_centrality,2,0.1836879244504289,0.0,6.416173616226564e-08,0.0013204494558232385,0.0,0.0014202916582735168,0.0,0.2305073305446125,0.0,0.003961812907884134,0.0,0.1837224097387774,1.5709711700430104e-05,0.052233114132259804,3.198937472767178e-05,0.0003032822923045546,0.0021541634022217105,1.654196463429263e-05,0.0,0.0,0.0021540724889577228,0.0025568631913734934,0.0001100616145917523,0.0,0.0,0.0,0.00012898103878391585,0.0,0.0,0.0013292867387659606,1.2108066963785806e-06,0.0,0.00019516020878296265,1.9849117763683532e-05,0.0834527942594776,0.00964017049108109,0.0,0.0,0.24103646624834116
39,perm,3,0.4324324324324326,-0.0,-0.0,-0.0,-0.0,-0.027027027027026997,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05405405405405404,-0.0,0.5405405405405407,0.21621621621621598,-0.0,-0.0,-0.0,-0.18918918918918917,-0.0,-0.0,-0.0,-0.0,-0.0,0.027027027027026997,0.18918918918918917,-0.0,-0.0,-0.027027027027026997,-0.0,-0.0,-0.0,-0.0,-0.10810810810810799,-0.0,-0.0
40,gini,3,0.3857208519789035,0.0,0.0,0.0,0.0,0.04222236958872475,0.0,0.0,0.05006039638545469,0.0,0.0,0.03342728726237519,0.0,0.0,0.0460617281256769,0.0,0.04520376147141151,0.054550662243059114,0.0,0.0,0.0,0.12887593954922716,0.0,0.0,0.0,0.0,0.0,0.037503580292103156,0.05801836619497645,0.0,0.0,0.04286123461954645,0.0,0.0,0.03799024199643803,0.0,0.037503580292103135,0.0,0.0
41,shap,3,0.2691075743537295,0.0,0.0,0.0,0.0,0.03183181053373042,0.0,0.0,0.01848357239857739,0.0,0.0,0.05536790368002422,0.0,0.0,0.054089830244748074,0.0,0.20658180283924027,0.04071193298717499,0.0,0.0,0.0,0.08415121916786063,0.0,0.0,0.0,0.0,0.0,0.028899143363190907,0.09716667834246089,0.0,0.0,0.0327268741810234,0.0,0.0,0.030776185772726825,0.0,0.0501054721355126,0.0,0.0
42,support_impurity_centrality,3,0.2961740754287624,0.0,0.0,0.0,0.0,0.02082876620432498,0.0,0.0,0.04618073037157691,0.0,0.0,0.005569441135753707,0.0,0.0,0.05893342949203415,0.0,0.013253100188690938,0.038511201529217644,0.0,0.0,0.0,0.06713311475351962,0.0,0.0,0.0,0.0,0.0,0.08382965452970197,0.16520426122843127,0.0,0.0,0.06328568622890827,0.0,0.0,0.021392183044020813,0.0,0.11970435586505734,0.0,0.0
43,confidence_impurity_centrality,3,0.1805603073795296,0.0,0.0,0.0,0.0,0.0034566813925294695,0.0,0.0,0.025738470084496312,0.0,0.0,0.00019194698663604714,0.0,0.0,0.038286881466064994,0.0,0.012212500310999701,0.023248256973684638,0.0,0.0,0.0,0.00870503549309156,0.0,0.0,0.0,0.0,0.0,0.12174344604818423,0.26858992132266907,0.0,0.0,0.06188463507180671,0.0,0.0,0.006247851377333983,0.0,0.2491340660929738,0.0,0.0
44,lift_impurity_centrality,3,0.20911201655792006,0.0,0.0,0.0,0.0,0.002782148143151477,0.0,0.0,0.022734476622481282,0.0,0.0,0.0001029740955813877,0.0,0.0,0.046979833890158994,0.0,0.013305644064236139,0.016049950484979147,0.0,0.0,0.0,0.006547017277175365,0.0,0.0,0.0,0.0,0.0,0.07103387712616699,0.2880281436496401,0.0,0.0,0.06930479908574969,0.0,0.0,0.003350453754519492,0.0,0.25066866524824,0.0,0.0
