,method,fold,wife_age,wife_edu,husband_edu,num_children,wife_religion,wife_working,husband_occupation,standard_of_living_index,media_exposure
13,perm,1,0.3682008368200836,0.3326359832635983,0.0,0.3117154811715481,0.0,0.0,-0.012552301255230205,0.0,0.0
14,gini,1,0.3042536469655673,0.20677404105594718,0.03286776417906108,0.45166194094949536,0.0,0.0,0.00444260684992913,0.0,0.0
15,shap,1,0.30113168810178587,0.29819617312324465,0.034985156520535854,0.34796814202350174,0.0,0.0,0.01771884023093205,0.0,0.0
16,support_impurity_centrality,1,0.37667598837573996,0.2914969755594215,0.044234815723576265,0.28125475359929725,0.0,0.0,0.006337466741964969,0.0,0.0
17,confidence_impurity_centrality,1,0.03759805779130107,0.7002817882070241,0.005863194837838384,0.23609964343139797,0.0,0.0,0.020157315732438497,0.0,0.0
18,lift_impurity_centrality,1,0.04222223462536356,0.6788446036367501,0.005979915347287249,0.24781743419641775,0.0,0.0,0.025135812194181418,0.0,0.0
19,equal_impurity_centrality,1,0.050199735377795145,0.6844528986749637,0.007420248101089385,0.2384551207968676,0.0,0.0,0.019471997049284123,0.0,0.0
20,relevance_impurity_centrality,1,0.35032466360470577,0.30373008939433044,0.03703382619824864,0.3030546594602033,0.0,0.0,0.005856761342511763,0.0,0.0
21,support_relevance_centrality,1,0.188427898522388,0.3366418277504059,0.001449390721116294,0.473291103420435,0.0,0.0,0.00018977958565478996,0.0,0.0
22,confidence_relevance_centrality,1,0.14932846089650897,0.27547167855455756,0.002983095572946654,0.5717674824954233,0.0,0.0,0.00044928248056352014,0.0,0.0
23,lift_relevance_centrality,1,0.1442502785366763,0.34339557441044344,0.0023754948447179403,0.5096207532534217,0.0,0.0,0.0003578989547406199,0.0,0.0
24,equal_relevance_centrality,1,0.16751716371018652,0.33311352103626773,0.0024966818691331345,0.4965892819136463,0.0,0.0,0.00028335147076633563,0.0,0.0
25,relevance_relevance_centrality,1,0.1708990200286558,0.39462971968039123,0.0011826190225958338,0.43312652772336246,0.0,0.0,0.00016211354499466102,0.0,0.0
26,perm,2,0.30673316708229414,0.28428927680798005,-0.007481296758104658,0.36907730673316697,0.0,0.0,0.03990024937655862,0.007481296758104781,0.0
27,gini,2,0.24108901985769454,0.20394130456281703,0.056421918555468006,0.4071505135198212,0.003912468284042015,0.011988275247226891,0.04037250248961277,0.01975981809379589,0.015364179389521707
28,shap,2,0.2656398155217824,0.24394610170278178,0.040917579810584,0.2835113994846012,0.007883417398140264,0.032188521994041326,0.08593236729564334,0.021573588913703704,0.01840720787872178
29,support_impurity_centrality,2,0.32256565724874936,0.2538188928451498,0.05645049519282098,0.2823591738172767,0.005166988678564442,0.010221086676517284,0.04103082599211744,0.011610416922306722,0.016776462626497287
30,confidence_impurity_centrality,2,0.32225896977589574,0.26540101997269866,0.032863895615131394,0.30779914892343047,0.0014921134174628915,0.002276637536553041,0.014707676268256214,0.04674241162640262,0.0064581268641689445
31,lift_impurity_centrality,2,0.35355072202293847,0.23293538309764325,0.03180215771088085,0.3208943398043482,0.0011241729175871995,0.001714979991626245,0.012644237578923724,0.04047196969235997,0.004862037183692053
32,equal_impurity_centrality,2,0.30218795576049357,0.2757595976802297,0.037208350633689984,0.3051339856271308,0.0014503552958021748,0.003512533351839711,0.019219928457580082,0.04693268439478447,0.008594608798449622
33,relevance_impurity_centrality,2,0.31674300804773964,0.2604206833700931,0.04427012752787422,0.3078848017660335,0.0038394734880697738,0.0073178336392036155,0.03651733128876826,0.0108431602109433,0.012163580661274596
34,support_relevance_centrality,2,0.1752381117458743,0.11134890314101396,0.015396183053655577,0.6654266722071517,7.782913622586386e-06,0.0007866319123353414,0.03137310559513275,0.0004122576451997376,1.0351786014019493e-05
35,confidence_relevance_centrality,2,0.12314017137291065,0.08478286600034943,0.009302318846951626,0.7628812978491573,2.361993219887641e-05,0.0011315584811308391,0.01779011017266943,0.0008538181893077564,9.423915532409792e-05
36,lift_relevance_centrality,2,0.14265312673208788,0.10542417733157142,0.01016464060984007,0.7191055164692616,2.1324431142634087e-05,0.0010215875033787276,0.020071033495981237,0.0014535128955293789,8.508053120707867e-05
37,equal_relevance_centrality,2,0.1609673557221898,0.11725083212044819,0.012120777313452562,0.6827719406104907,1.9237657351716126e-05,0.0014102220254732303,0.02399911599889051,0.0013871818773163475,7.333667438685545e-05
38,relevance_relevance_centrality,2,0.18555860445935748,0.12221819094431777,0.015395222968678096,0.6434278991161413,7.2747362048986745e-06,0.0007024009227977104,0.03198110050218086,0.0006996049099390731,9.701440382783304e-06
39,perm,3,0.31796116504854366,0.31310679611650477,0.0,0.36893203883495146,0.0,0.0,0.0,0.0,0.0
40,gini,3,0.29387666545176483,0.20850094930540514,0.0,0.43528260219092835,0.009896963451581402,0.0,0.014076156289899151,0.0,0.038366663310421226
41,shap,3,0.2882997617800382,0.283245840654845,0.0,0.3926351807568883,0.008704223130513025,0.0,0.010806374744613751,0.0,0.01630861893310191
42,support_impurity_centrality,3,0.3232317480778875,0.2500931367828956,0.0,0.30001836587596314,0.07850820401011903,0.0,0.014200545596722127,0.0,0.03394799965641257
43,confidence_impurity_centrality,3,0.024003420860057374,0.012790477962668124,0.0,0.4398512881741988,0.41784561384189123,0.0,0.10232149723560402,0.0,0.0031877019255803483
44,lift_impurity_centrality,3,0.023315221369808386,0.01554579796178586,0.0,0.45696097992706,0.3924811684495458,0.0,0.10893778349639055,0.0,0.0027590487954095933
45,equal_impurity_centrality,3,0.032193487696175895,0.020473691607541394,0.0,0.43609350365987426,0.4075404799857022,0.0,0.09979798929284131,0.0,0.0039008477578648853
46,relevance_impurity_centrality,3,0.2889674851343431,0.272092805508049,0.0,0.3279619321578711,0.07091763667737748,0.0,0.013819574587830319,0.0,0.026240565934528948
47,support_relevance_centrality,3,0.28167170557305526,0.25290269717171476,0.0,0.46421156817437764,1.727987068349259e-10,0.0,0.00019719256008092107,0.0,0.001016836347972699
48,confidence_relevance_centrality,3,0.22757914387819514,0.21243914175233902,0.0,0.5578259675046942,1.47142108947991e-08,0.0,0.0004551180153899645,0.0,0.001700614135170867
49,lift_relevance_centrality,3,0.23005384569718756,0.2518062793460532,0.0,0.5163001829558483,1.3681886074797825e-08,0.0,0.00038839924499001275,0.0,0.0014512790740347735
50,equal_relevance_centrality,3,0.25275237508863224,0.2541481152075067,0.0,0.491325716599384,9.635497843062142e-09,0.0,0.0002980308415437184,0.0,0.001475752627435461
51,relevance_relevance_centrality,3,0.27393919001283434,0.28246240769790215,0.0,0.442534549622988,1.6663947732262906e-10,0.0,0.00018279007470803016,0.0,0.0008810624249279606
52,perm,4,0.43014705882352944,0.29411764705882354,0.0,0.27573529411764697,0.0,0.0,0.0,0.0,0.0
53,gini,4,0.30005709525515967,0.20153546510956527,0.028003100512972064,0.4574053360990123,0.009861312638358476,0.0,0.0031376903849322673,0.0,0.0
54,shap,4,0.30304534049194226,0.2979257194737051,0.03659425637509302,0.36223661528355344,6.602279386973796e-05,0.0,0.00013204558183657833,0.0,0.0
55,support_impurity_centrality,4,0.3471534221358335,0.2006122041731979,0.03178060028820893,0.31810158119779824,0.08599489905316388,0.0,0.01635729315179753,0.0,0.0
56,confidence_impurity_centrality,4,0.021171463508366517,0.0077529659433903985,0.0026312563845284163,0.4395295287715938,0.41947507996845923,0.0,0.10943970542366163,0.0,0.0
57,lift_impurity_centrality,4,0.02040369318071612,0.009203172681246468,0.0022817255386075306,0.45681585799778485,0.39456806727384397,0.0,0.11672748332780106,0.0,0.0
58,equal_impurity_centrality,4,0.029214345205983556,0.013625992773557144,0.003435812268596218,0.4361772400302546,0.4104591353774069,0.0,0.10708747434420153,0.0,0.0
59,relevance_impurity_centrality,4,0.3189184515544151,0.21654545269512565,0.025916784867051866,0.341142522483074,0.08086996154730194,0.0,0.016606826853031467,0.0,0.0
60,support_relevance_centrality,4,0.18751747375047972,0.3510624776969741,0.0016289856392899575,0.45961676630321585,1.6288189100912783e-10,0.0,0.00017429644715850293,0.0,0.0
61,confidence_relevance_centrality,4,0.14959519735139787,0.2914527944269653,0.0032118371155167263,0.5553198600692656,1.418477182747985e-08,0.0,0.0004202968520826855,0.0,0.0
62,lift_relevance_centrality,4,0.14307120723958414,0.3612542346520869,0.0025168066768718337,0.49282838025260434,1.1978718183968157e-08,0.0,0.000329359200134614,0.0,0.0
63,equal_relevance_centrality,4,0.16631299666734384,0.34563583379970914,0.0027724098202827514,0.4850131335668705,8.964423817408513e-09,0.0,0.00026561718137000474,0.0,0.0
64,relevance_relevance_centrality,4,0.16822442191752443,0.41069861759059456,0.001299930447615572,0.41963084459329103,1.4118510797488243e-10,0.0,0.0001461853097892707,0.0,0.0
65,perm,5,0.21763085399449028,0.24242424242424238,0.0,0.5399449035812673,0.0,0.0,0.0,0.0,0.0
66,gini,5,0.34174177556065655,0.22950310411611832,0.0,0.4157117454346025,0.009900392987749841,0.0,0.003142981900872954,0.0,0.0
67,shap,5,0.3133387106404147,0.315778128690365,0.0,0.37069571237258114,6.248276740853914e-05,0.0,0.00012496552923068374,0.0,0.0
68,support_impurity_centrality,5,0.4017607607198619,0.2194035690166725,0.0,0.2810008715878594,0.08136393227205549,0.0,0.016470866403550697,0.0,0.0
69,confidence_impurity_centrality,5,0.028837528424692498,0.01203726509339651,0.0,0.4330204527506704,0.4108872332504689,0.0,0.11521752048077173,0.0,0.0
70,lift_impurity_centrality,5,0.027462328759594513,0.01393145001610062,0.0,0.4494484269471348,0.3864769756936704,0.0,0.12268081858349966,0.0,0.0
71,equal_impurity_centrality,5,0.03752738347199432,0.017858299838989573,0.0,0.42961112711226956,0.4022169238722668,0.0,0.11278626570447971,0.0,0.0
72,relevance_impurity_centrality,5,0.3611802397654782,0.2421541710841655,0.0,0.30617277800094506,0.07424242187139868,0.0,0.0162503892780126,0.0,0.0
73,support_relevance_centrality,5,0.245277155267784,0.28535741390669805,0.0,0.46917997311753606,1.854795660333263e-10,0.0,0.000185457522502332,0.0,0.0
74,confidence_relevance_centrality,5,0.1995879843252008,0.24316281692970682,0.0,0.5568118584128164,1.509950478664138e-08,0.0,0.00043732523277113285,0.0,0.0
75,lift_relevance_centrality,5,0.2024988368108184,0.2864152565123508,0.0,0.5107199886166535,1.3627128304760178e-08,0.0,0.0003659044330490196,0.0,0.0
76,equal_relevance_centrality,5,0.22099870170036762,0.2853317158404475,0.0,0.4933867031173402,9.766622607153656e-09,0.0,0.00028286957522209786,0.0,0.0
77,relevance_relevance_centrality,5,0.23875936117967847,0.3201365647456631,0.0,0.44093658786674317,1.7320228327721902e-10,0.0,0.00016748603471296685,0.0,0.0
78,perm,6,0.1726618705035972,0.2517985611510791,0.0,0.5107913669064748,0.0,0.0,0.06474820143884898,0.0,0.0
79,gini,6,0.22895802788028227,0.2655114357793234,0.02665640972044919,0.4514973631125302,0.009859220033590793,0.0,0.017517543473824285,0.0,0.0
80,shap,6,0.30242492634393725,0.29760597813352785,0.034897691919032234,0.3140601870491035,0.00015695230733457234,0.0,0.05085426424706467,0.0,0.0
81,support_impurity_centrality,6,0.2895151225986146,0.22635153525919952,0.02595420290799841,0.3677120303621461,0.06951023797320148,0.0,0.02095687089883989,0.0,0.0
82,confidence_impurity_centrality,6,0.020834423954432683,0.015396680144696041,0.0025097538204042267,0.4404329760299366,0.4129027308690488,0.0,0.10792343518148169,0.0,0.0
83,lift_impurity_centrality,6,0.020662864105484537,0.020993046651075688,0.0021673736499432136,0.45515119150855027,0.38637120008933074,0.0,0.1146543239956156,0.0,0.0
84,equal_impurity_centrality,6,0.029074751139341614,0.02580192398002695,0.0031987531110191795,0.4391123129432696,0.3981955060402103,0.0,0.10461675278613244,0.0,0.0
85,relevance_impurity_centrality,6,0.25155043977956026,0.2586876478217011,0.0199333329704143,0.3876647632991457,0.061594266523025784,0.0,0.020569549606152877,0.0,0.0
86,support_relevance_centrality,6,0.2547010067433102,0.21315029746908892,0.002276597041729086,0.510427755861105,2.050369287713316e-10,0.0,0.019444342679729904,0.0,0.0
87,confidence_relevance_centrality,6,0.1962824780465305,0.17789999962830463,0.003987902320643174,0.599872484399671,1.649392016865444e-08,0.0,0.02195711911093045,0.0,0.0
88,lift_relevance_centrality,6,0.21015909125336593,0.19509961019782798,0.0035354255167846043,0.5638995077008576,1.5819463014135563e-08,0.0,0.027306349511700835,0.0,0.0
89,equal_relevance_centrality,6,0.22570396134732174,0.21926428775538134,0.0035409325388593167,0.5190702606474692,1.0951543754104136e-08,0.0,0.03242054675942463,0.0,0.0
90,relevance_relevance_centrality,6,0.2593622897635798,0.21835017093049855,0.0021013119940338997,0.49628392842508084,2.0580897102963824e-10,0.0,0.02390229868099797,0.0,0.0
91,perm,7,0.3161764705882353,0.25490196078431365,0.0,0.42892156862745096,0.0,0.0,0.0,0.0,0.0
92,gini,7,0.3122487452083958,0.20514380517665326,0.028878494908501532,0.4403988343775124,0.01011660917821104,0.0,0.003213511150725848,0.0,0.0
93,shap,7,0.3334064182927892,0.2565521227975162,0.038371411256388176,0.36943803290359334,0.0013689690683090484,0.0,0.0008630456814041202,0.0,0.0
94,support_impurity_centrality,7,0.33282616937382725,0.2208902517653238,0.03183476843865083,0.31145168056257355,0.08666826983544426,0.0,0.016328860024180353,0.0,0.0
95,confidence_impurity_centrality,7,0.019955246612061817,0.008945178740877583,0.002608456561124194,0.44014244503805855,0.41936157207109587,0.0,0.108987100976782,0.0,0.0
96,lift_impurity_centrality,7,0.01983263476724936,0.011317540751936242,0.0022613792041451418,0.45675092395084266,0.393622307838718,0.0,0.11621521348710857,0.0,0.0
97,equal_impurity_centrality,7,0.02807344766359585,0.015508090531108638,0.0034255396987039467,0.4366895393068093,0.40980096917347825,0.0,0.10650241362630412,0.0,0.0
98,relevance_impurity_centrality,7,0.3026341886569007,0.2433440951697039,0.024862632394628985,0.33502873320020865,0.07820783299960653,0.0,0.01592251757895122,0.0,0.0
99,support_relevance_centrality,7,0.23032098010328245,0.2741434467007408,0.0018771657710752617,0.4934592013071622,2.0790060187896096e-10,0.0,0.00019920590983872724,0.0,0.0
100,confidence_relevance_centrality,7,0.18270568953943084,0.22611597464322591,0.003526249606397388,0.5871847326040798,1.698515085645013e-08,0.0,0.0004673366217151936,0.0,0.0
101,lift_relevance_centrality,7,0.18851777254943522,0.27310186601884645,0.0029408905425310104,0.5350496822054862,1.5266017749052108e-08,0.0,0.00038977341768335985,0.0,0.0
102,equal_relevance_centrality,7,0.2072722063299266,0.2726031400537406,0.0031189051583288695,0.5167016013226536,1.1053696602716661e-08,0.0,0.00030413608165373454,0.0,0.0
103,relevance_relevance_centrality,7,0.22574330763619327,0.31180001911408933,0.0016051575444308913,0.4606723831315682,1.9320951413668592e-10,0.0,0.00017913238050882584,0.0,0.0
104,perm,8,0.22410546139359697,0.3446327683615819,0.001883239171374767,0.43879472693032023,0.001883239171374767,0.0,-0.011299435028248603,0.0,0.0
105,gini,8,0.3095285508262256,0.1821583945507491,0.04203914585713135,0.38725975939038015,0.006511763410646596,0.007308036024539547,0.03161479226728466,0.02166853792082711,0.011911019752215831
106,shap,8,0.317829549374562,0.21699242046621212,0.022046786117355676,0.29956932824062643,0.0005856594164000477,0.01926959012146714,0.08669950464167023,0.020995654024293348,0.016011507597412895
107,support_impurity_centrality,8,0.27033942257018667,0.18475266285476089,0.031980469417480555,0.3350374763280964,0.0385807644051693,0.0052986798023124905,0.09321330896022714,0.02987976033530072,0.010917455326465873
108,confidence_impurity_centrality,8,0.18163445536162945,0.09697660980514472,0.012087930831439187,0.3596861547008545,0.20491598723710686,0.0006613692198917164,0.10842890717089973,0.032582352997414715,0.0030262326756189477
109,lift_impurity_centrality,8,0.2268452959530717,0.10247361902047236,0.014321345858098704,0.33940551310618405,0.17996870612282445,0.0005535873154431632,0.1018302226835315,0.03206994148330115,0.0025317684570730268
110,equal_impurity_centrality,8,0.1803101649697449,0.10967837167822653,0.01344399067727449,0.35721772051373973,0.18410902497669784,0.0010809486649281915,0.11590000736216004,0.034245361164962185,0.004014409992266034
111,relevance_impurity_centrality,8,0.2726418879659861,0.19853229484085338,0.024181963988946405,0.3530817528119583,0.0313481552243772,0.003671750463759736,0.0833753802779351,0.02548063317504266,0.0076861812511411064
112,support_relevance_centrality,8,0.20607794580512764,0.08037851342701909,0.0018911545225193712,0.6919991226926686,2.229256858757833e-10,0.0015536452187713944,0.01774196440808382,0.00022749973659532357,0.00013015396628902315
113,confidence_relevance_centrality,8,0.1556799457197641,0.06389915971165083,0.0017301251182139368,0.7624850204327389,1.4493842146409764e-08,0.0016543400639242398,0.013860563819787916,0.0005417688465092442,0.00014906179356872034
114,lift_relevance_centrality,8,0.18096000934939482,0.08270976484727194,0.0017194459235641624,0.7162843860342831,1.438632254409535e-08,0.0015080355030829538,0.015800729670696352,0.0008817349582643701,0.00013587932711976416
115,equal_relevance_centrality,8,0.20771028912700168,0.09186586459728147,0.0023786628726977193,0.6756634647081339,1.1768445815704239e-08,0.002170235274778334,0.019093450573272375,0.0009312320709846211,0.00018678900740409869
116,relevance_relevance_centrality,8,0.22620063596999718,0.09346745795148037,0.0015754830125347076,0.6580975439022333,2.1744943353019032e-10,0.0013650318776315903,0.01880640729802905,0.0003730407265536841,0.00011439904409073525
117,perm,9,0.264990328820116,0.3036750483558994,0.0,0.4526112185686654,0.0,0.0,-0.01740812379110254,-0.0038684719535783414,0.0
118,gini,9,0.33035146769327883,0.23020952680662354,0.0,0.4261551772972595,0.0,0.0,0.004322515526320311,0.00896131267651774,0.0
119,shap,9,0.3363586535597646,0.30779953264383153,0.0,0.3429727294921131,0.0,0.0,0.011366602340741822,0.0015024819635490862,0.0
120,support_impurity_centrality,9,0.4341849896095013,0.22104082970271627,0.0,0.2592098784851507,0.0,0.0,0.0069226285596313475,0.07864167364300037,0.0
121,confidence_impurity_centrality,9,0.058013187982736004,0.023129460600962964,0.0,0.09876731937176403,0.0,0.0,0.03392294023435061,0.7861670918101864,0.0
122,lift_impurity_centrality,9,0.06382533306204988,0.029374193641776368,0.0,0.11438404939912505,0.0,0.0,0.04191733005498906,0.7504990938420596,0.0
123,equal_impurity_centrality,9,0.07511572134878342,0.03333095685845913,0.0,0.10818951584640407,0.0,0.0,0.03240376365095047,0.7509600422954029,0.0
124,relevance_impurity_centrality,9,0.3977525198897673,0.24157866566530545,0.0,0.2810738509986458,0.0,0.0,0.006368439967912455,0.07322652347836901,0.0
125,support_relevance_centrality,9,0.19971760063316374,0.35805584181751565,0.0,0.4420560044223869,0.0,0.0,0.00017055304784822838,7.908546646435988e-11,0.0
126,confidence_relevance_centrality,9,0.16596021755482399,0.29767968789912536,0.0,0.53594454477213,0.0,0.0,0.0004155349863183931,1.4787602190363632e-08,0.0
127,lift_relevance_centrality,9,0.1557018475120201,0.3670293664347195,0.0,0.47694204039154364,0.0,0.0,0.0003267315155664265,1.4146150336649267e-08,0.0
128,equal_relevance_centrality,9,0.18099531966914365,0.3527238909242835,0.0,0.4660193250022856,0.0,0.0,0.0002614550999106217,9.304376611883175e-09,0.0
129,relevance_relevance_centrality,9,0.17727843945649732,0.4190474212586788,0.0,0.40353148520612053,0.0,0.0,0.00014265399910799197,7.959535745039379e-11,0.0
